timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1613692800000,9.55,30.0,9.55,18.934,10342605.312,1613779199999,191711395.690598,408439,5178596.733,96514899.874808,2021-02-19
1613779200000,18.934,19.0,12.1,14.673,9194897.347,1613865599999,140820280.270732,330088,4072352.007,62700385.811153,2021-02-20
1613865600000,14.611,18.894,14.1,16.645,8024148.278,1613951999999,134829352.447222,282980,4220137.947,71039523.529711,2021-02-21
1613952000000,16.652,16.752,12.235,15.027,7186301.814,1614038399999,105325103.367343,226697,3320566.252,48796960.432072,2021-02-22
1614038400000,15.056,15.099,9.66,12.744,9215981.581,1614124799999,110583805.652289,226396,4062870.191,48872723.85157,2021-02-23
1614124800000,12.788,16.131,11.5,14.16,8049682.096,1614211199999,114975549.097969,221741,4035523.412,57844566.39983,2021-02-24
1614211200000,14.16,14.844,11.51,11.652,4891170.49,1614297599999,65470560.993685,130627,2360341.069,31672908.683973,2021-02-25
1614297600000,11.711,12.668,10.419,11.283,6141482.122,1614383999999,70847350.130374,141905,2787208.003,32241282.801315,2021-02-26
1614384000000,11.283,12.369,10.359,10.652,4384904.732,1614470399999,49346170.716148,114355,1911170.706,21535622.108446,2021-02-27
1614470400000,10.651,10.83,8.3,9.379,7659675.204,1614556799999,70688622.362664,148273,3399783.142,31441840.849996,2021-02-28
1614556800000,9.379,13.499,9.346,13.11,15477911.356,1614643199999,187298347.976231,290304,7848271.159,95115102.669667,2021-03-01
1614643200000,13.119,13.71,11.09,12.03,7556363.8,1614729599999,92334978.064934,148601,3597318.751,44105419.398852,2021-03-02
1614729600000,12.047,13.48,11.794,12.599,6142304.901,1614815999999,78384295.700128,126758,3097733.583,39566093.928493,2021-03-03
1614816000000,12.599,13.356,11.102,11.544,5671803.495,1614902399999,70189602.153449,119751,2615495.985,32461607.585218,2021-03-04
1614902400000,11.543,11.755,10.6,11.094,4042764.769,1614988799999,44879510.71747,90043,1860201.476,20645731.58143,2021-03-05
1614988800000,11.061,12.001,10.777,11.13,3035233.469,1615075199999,34179647.407413,69070,1285761.818,14508989.062229,2021-03-06
1615075200000,11.113,12.2,10.904,11.678,3989422.665,1615161599999,46182260.538141,89173,1944756.439,22533242.089103,2021-03-07
1615161600000,11.668,11.944,11.021,11.936,3755272.977,1615247999999,43122934.016437,84341,1755729.562,20149513.138864,2021-03-08
1615248000000,11.935,14.691,11.654,14.201,7557254.891,1615334399999,99803058.995259,198820,3808736.411,50368079.38304,2021-03-09
1615334400000,14.2,14.388,12.501,12.745,6093463.419,1615420799999,81229080.988079,156782,2799073.598,37244686.623234,2021-03-10
1615420800000,12.743,13.666,12.059,12.333,5256734.701,1615507199999,66318845.880359,132295,2506561.912,31622104.218104,2021-03-11
1615507200000,12.327,12.387,10.502,11.018,5511411.903,1615593599999,63339516.441357,122398,2251564.814,25881746.027677,2021-03-12
1615593600000,11.017,11.917,10.625,11.373,4392455.419,1615679999999,49882417.898934,106124,1954262.048,22230402.437114,2021-03-13
1615680000000,11.373,11.42,10.61,10.935,3259831.483,1615766399999,35989924.977792,77588,1357123.593,14992267.135699,2021-03-14
1615766400000,10.92,11.048,9.6,9.973,7731331.164,1615852799999,79685991.762402,142203,3529226.943,36431510.807994,2021-03-15
1615852800000,9.986,10.4,9.32,9.976,5555988.062,1615939199999,54741770.325991,108869,2424921.824,23960401.280812,2021-03-16
1615939200000,9.984,10.527,9.348,10.346,4581722.127,1616025599999,45111467.525189,88462,2078265.667,20521056.995741,2021-03-17
