timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1738846800000,1.0,13.387,1.0,12.696,36220049.779,1738850399999,348344073.351146,872671,18341188.284,175853157.619733,2025-02-06 13:00:00
1738850400000,12.698,15.5,11.62,11.877,14016263.588,1738853999999,191524882.424319,534142,6981184.534,95675185.772454,2025-02-06 14:00:00
1738854000000,11.881,12.1,8.6,8.883,10298961.543,1738857599999,107798020.66946,318116,4792339.888,50264274.001719,2025-02-06 15:00:00
1738857600000,8.873,9.82,8.73,9.085,6138155.782,1738861199999,57097267.85389,222164,3200872.486,29799143.019615,2025-02-06 16:00:00
1738861200000,9.091,9.849,8.772,9.153,2784924.772,1738864799999,25649686.956819,135342,1483948.523,13668430.382992,2025-02-06 17:00:00
1738864800000,9.152,9.18,7.35,7.588,4935834.046,1738868399999,39636093.14444,181982,2253947.795,18040126.580795,2025-02-06 18:00:00
1738868400000,7.588,8.154,7.461,7.8,2435101.074,1738871999999,18952216.113525,105098,1263261.723,9831272.597429,2025-02-06 19:00:00
1738872000000,7.801,7.875,6.781,7.339,3574654.214,1738875599999,25629121.854346,113235,1645472.047,11798553.340986,2025-02-06 20:00:00
1738875600000,7.338,8.199,7.2,7.675,3365748.477,1738879199999,25921677.952079,103104,1745416.768,13455492.064532,2025-02-06 21:00:00
1738879200000,7.668,8.42,7.47,8.012,2886513.033,1738882799999,22997608.71852,91648,1520498.81,12104155.465557,2025-02-06 22:00:00
1738882800000,8.012,8.73,7.837,8.717,2710294.139,1738886399999,22631644.55068,92757,1454117.375,12154103.12242,2025-02-06 23:00:00
1738886400000,8.717,9.234,7.748,7.879,3978560.898,1738889999999,33662263.310621,125457,2023640.71,17151550.013764,2025-02-07 00:00:00
1738890000000,7.891,8.302,7.66,8.111,1411306.778,1738893599999,11337279.383117,53553,707000.064,5682169.024475,2025-02-07 01:00:00
1738893600000,8.11,8.199,7.783,7.88,935149.463,1738897199999,7447233.278621,39361,462885.535,3687908.209136,2025-02-07 02:00:00
1738897200000,7.877,8.2,7.83,8.181,707669.196,1738900799999,5683619.439754,33507,363463.545,2918761.076177,2025-02-07 03:00:00
1738900800000,8.189,8.198,7.718,7.766,881359.597,1738904399999,6973287.916339,36903,468276.516,3703542.036307,2025-02-07 04:00:00
1738904400000,7.759,7.981,7.39,7.777,1653914.537,1738907999999,12597090.700785,53878,942426.248,7179633.984328,2025-02-07 05:00:00
1738908000000,7.777,7.778,7.381,7.496,901510.952,1738911599999,6814430.503614,35153,456723.136,3456670.362265,2025-02-07 06:00:00
1738911600000,7.496,7.725,7.488,7.572,755148.112,1738915199999,5759907.569276,41577,364319.473,2778688.475865,2025-02-07 07:00:00
1738915200000,7.572,7.573,7.21,7.326,938131.64,1738918799999,6932838.439482,45480,470009.58,3472057.499639,2025-02-07 08:00:00
1738918800000,7.326,7.75,7.305,7.669,1141648.842,1738922399999,8548027.303405,52147,636919.376,4771616.577055,2025-02-07 09:00:00
1738922400000,7.669,7.86,7.54,7.636,693041.37,1738925999999,5314122.533317,39859,336808.349,2585391.920211,2025-02-07 10:00:00
1738926000000,7.638,7.712,7.459,7.588,682817.049,1738929599999,5174366.092585,33512,327012.39,2476716.861697,2025-02-07 11:00:00
1738929600000,7.585,7.614,7.359,7.526,666611.1,1738933199999,4987288.108638,23923,339147.844,2539494.574287,2025-02-07 12:00:00
1738933200000,7.527,8.18,7.401,8.026,2181116.964,1738936799999,17075724.206681,62739,1137659.993,8910820.368299,2025-02-07 13:00:00
1738936800000,8.026,8.093,7.61,7.861,1762951.414,1738940399999,13827804.501232,44257,872573.634,6847197.180182,2025-02-07 14:00:00
1738940400000,7.862,7.997,7.603,7.797,1457328.019,1738943999999,11344246.986511,33426,697040.94,5427986.332186,2025-02-07 15:00:00
1738944000000,7.795,8.55,7.719,8.124,2027007.204,1738947599999,16560391.611559,52291,1058556.883,8651546.710548,2025-02-07 16:00:00
1738947600000,8.111,8.214,7.769,8.108,1121268.805,1738951199999,8987654.380747,29865,580756.449,4658843.930922,2025-02-07 17:00:00
1738951200000,8.112,8.342,8.011,8.132,992801.174,1738954799999,8134790.666625,25187,483961.829,3969341.298034,2025-02-07 18:00:00
1738954800000,8.13,8.26,7.856,7.906,645507.643,1738958399999,5200120.517097,18364,273393.08,2203826.885378,2025-02-07 19:00:00
1738958400000,7.906,8.19,7.705,7.843,1069575.666,1738961999999,8493810.123148,27569,522252.099,4150020.728697,2025-02-07 20:00:00
1738962000000,7.843,8.105,7.61,7.705,912764.92,1738965599999,7191518.166914,22098,476060.444,3753335.586899,2025-02-07 21:00:00
1738965600000,7.701,7.754,7.372,7.559,541739.97,1738969199999,4089281.47519,16151,262482.566,1981941.908207,2025-02-07 22:00:00
1738969200000,7.559,7.804,7.507,7.7,587006.787,1738972799999,4516171.450703,22589,270744.17,2082750.705101,2025-02-07 23:00:00
1738972800000,7.7,7.79,7.114,7.208,930255.296,1738976399999,6877773.748153,40478,431231.941,3186657.282464,2025-02-08 00:00:00
1738976400000,7.209,7.288,6.85,6.984,1434518.417,1738979999999,10060905.565955,46318,691378.713,4846486.067026,2025-02-08 01:00:00
1738980000000,6.982,7.002,6.708,6.943,717988.232,1738983599999,4919343.803377,32414,355187.321,2435616.9552,2025-02-08 02:00:00
1738983600000,6.943,7.113,6.832,6.866,609601.094,1738987199999,4245627.978164,32099,260975.219,1819393.413947,2025-02-08 03:00:00
1738987200000,6.866,6.996,6.51,6.612,1081739.463,1738990799999,7204354.56654,48255,540668.577,3600276.439463,2025-02-08 04:00:00
1738990800000,6.611,6.62,6.321,6.531,1028574.723,1738994399999,6620754.854656,49809,486155.716,3126937.87179,2025-02-08 05:00:00
1738994400000,6.531,6.69,6.4,6.45,627280.104,1738997999999,4093754.520292,29269,279959.027,1826719.485121,2025-02-08 06:00:00
1738998000000,6.449,6.482,6.226,6.425,813584.888,1739001599999,5162228.472491,34458,446498.331,2833340.264863,2025-02-08 07:00:00
1739001600000,6.422,6.595,6.322,6.47,548956.275,1739005199999,3541530.277258,23191,250518.059,1616519.258202,2025-02-08 08:00:00
1739005200000,6.467,6.622,6.403,6.466,517151.944,1739008799999,3365016.457486,23675,222175.455,1445899.731747,2025-02-08 09:00:00
1739008800000,6.465,6.8,6.408,6.55,636565.177,1739012399999,4183198.65576,26454,343404.455,2257060.941342,2025-02-08 10:00:00
1739012400000,6.549,6.601,6.42,6.537,448252.472,1739015999999,2912100.557513,17628,202737.012,1317604.219208,2025-02-08 11:00:00
1739016000000,6.535,6.6,6.444,6.508,476635.8,1739019599999,3111096.987001,18811,203346.438,1327537.65,2025-02-08 12:00:00
1739019600000,6.509,6.781,6.452,6.599,771634.275,1739023199999,5113390.219129,26990,369516.755,2451192.792053,2025-02-08 13:00:00
1739023200000,6.6,6.698,6.345,6.443,996493.792,1739026799999,6479911.278329,31749,478420.459,3112751.086625,2025-02-08 14:00:00
1739026800000,6.445,6.488,6.231,6.324,980223.282,1739030399999,6217722.449948,29805,543151.586,3446502.214797,2025-02-08 15:00:00
1739030400000,6.321,6.339,5.841,5.898,1835875.793,1739033999999,11105221.557119,50890,954224.951,5775971.994648,2025-02-08 16:00:00
1739034000000,5.899,6.085,5.89,5.985,993434.53,1739037599999,5942547.647583,30368,562239.523,3364485.924783,2025-02-08 17:00:00
1739037600000,5.987,6.026,5.881,5.996,561105.554,1739041199999,3341818.71349,19548,303880.511,1811086.255652,2025-02-08 18:00:00
1739041200000,5.997,6.076,5.935,5.998,528930.78,1739044799999,3175247.777933,17799,255471.823,1533081.89616,2025-02-08 19:00:00
1739044800000,5.996,6.188,5.996,6.046,624724.886,1739048399999,3808387.958846,19027,316487.368,1930186.862508,2025-02-08 20:00:00
1739048400000,6.045,6.085,5.944,6.075,409612.236,1739051999999,2465278.566982,14308,201736.607,1214385.805605,2025-02-08 21:00:00
1739052000000,6.071,6.103,5.751,5.815,590170.633,1739055599999,3490553.44059,16478,285085.188,1687023.490553,2025-02-08 22:00:00
1739055600000,5.815,6.111,5.81,6.053,575120.111,1739059199999,3448263.378281,17969,254460.669,1523418.845285,2025-02-08 23:00:00
1739059200000,6.053,6.514,5.887,6.208,1729476.128,1739062799999,10806646.596612,59479,896143.191,5605428.970306,2025-02-09 00:00:00
1739062800000,6.207,6.248,6.059,6.247,681380.609,1739066399999,4195844.265986,22092,360808.976,2221939.627995,2025-02-09 01:00:00
1739066400000,6.247,6.248,6.069,6.093,399416.144,1739069999999,2462414.13348,14804,178725.444,1101751.07564,2025-02-09 02:00:00
1739070000000,6.095,6.283,6.037,6.229,577744.333,1739073599999,3559449.86747,22287,291239.099,1794735.384706,2025-02-09 03:00:00
1739073600000,6.23,6.271,6.126,6.136,286166.672,1739077199999,1775825.557914,12481,142562.892,884756.054984,2025-02-09 04:00:00
1739077200000,6.138,6.14,5.94,5.976,379776.603,1739080799999,2289830.341811,16424,175113.143,1056948.015805,2025-02-09 05:00:00
