timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1739282400000,0.2,1.5,0.2,1.018,148363525.16,1739285999999,174064034.481353,509426,71617136.74,83813212.351674,2025-02-11 14:00:00
1739286000000,1.0178,1.0642,0.8056,0.8457,57224729.19,1739289599999,51687225.927468,155406,26648013.43,24090748.590737,2025-02-11 15:00:00
1739289600000,0.8455,0.9,0.7727,0.8112,36071863.66,1739293199999,29485705.633936,90804,17157704.85,14043244.637574,2025-02-11 16:00:00
1739293200000,0.811,0.8598,0.8,0.8259,18559204.27,1739296799999,15413859.501253,67858,9037825.65,7509033.187699,2025-02-11 17:00:00
1739296800000,0.8257,0.8853,0.811,0.8274,15213686.24,1739300399999,12935008.653233,71539,7253477.19,6181606.351218,2025-02-11 18:00:00
1739300400000,0.8274,0.8586,0.8045,0.8486,8294678.84,1739303999999,6838382.831576,44424,4160956.49,3436192.223462,2025-02-11 19:00:00
1739304000000,0.8492,0.8747,0.8218,0.8515,6936589.07,1739307599999,5858635.132522,46313,3145773.02,2659060.256816,2025-02-11 20:00:00
1739307600000,0.8515,0.9088,0.838,0.886,10716074.64,1739311199999,9382181.169685,60077,5042046.54,4419414.939557,2025-02-11 21:00:00
1739311200000,0.8875,0.9549,0.885,0.9197,13903215.46,1739314799999,12910423.491433,71762,7961429.14,7402038.761146,2025-02-11 22:00:00
1739314800000,0.9199,1.0895,0.89,1.0544,23340915.03,1739318399999,22690888.681576,91154,11123116.39,10853428.991142,2025-02-11 23:00:00
1739318400000,1.0532,1.5,0.9882,1.2578,46545768.43,1739321999999,58353872.751934,221168,23641781.81,29689711.052843,2025-02-12 00:00:00
1739322000000,1.2578,1.4269,1.205,1.21,22580839.8,1739325599999,29643855.255631,114417,11451526.41,15039845.323997,2025-02-12 01:00:00
1739325600000,1.2106,1.343,1.2086,1.3035,10558137.93,1739329199999,13509973.751516,63090,5385385.21,6891085.800265,2025-02-12 02:00:00
1739329200000,1.3035,1.3571,1.2115,1.2559,10507894.34,1739332799999,13633208.33146,62684,5141793.06,6675267.650806,2025-02-12 03:00:00
1739332800000,1.2562,1.3115,1.2232,1.2832,7923141.06,1739336399999,10066799.921061,52069,4264144.83,5416688.024325,2025-02-12 04:00:00
1739336400000,1.2822,1.5242,1.2483,1.2918,17174353.85,1739339999999,22939735.974061,94191,9460468.15,12664536.891901,2025-02-12 05:00:00
1739340000000,1.29,1.3017,1.053,1.0935,27466177.24,1739343599999,32602176.925142,139891,14627095.89,17396783.120802,2025-02-12 06:00:00
1739343600000,1.0926,1.16,1.0321,1.0922,13131596.26,1739347199999,14400660.700058,69511,6653758.78,7305836.265933,2025-02-12 07:00:00
1739347200000,1.0922,1.1406,1.0569,1.0989,11209881.01,1739350799999,12321870.068122,70249,5627666.24,6187070.91685,2025-02-12 08:00:00
1739350800000,1.0992,1.111,1.07,1.1035,7226302.04,1739354399999,7894538.148311,62125,3468595.68,3788952.839176,2025-02-12 09:00:00
