timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1744380000000,0.4199,0.6,0.4199,0.5307,7427067.4,1744383599999,4067237.26984,14704,3654272.8,2005456.91908,2025-04-11 14:00:00
1744383600000,0.5308,0.535,0.5206,0.5245,2054899.3,1744387199999,1081916.10952,7381,914456.3,481798.46433,2025-04-11 15:00:00
1744387200000,0.5243,0.5386,0.5121,0.5303,2644325.7,1744390799999,1397568.13879,10186,1361865.7,720306.70343,2025-04-11 16:00:00
1744390800000,0.5303,0.5353,0.5226,0.5308,1624974.4,1744394399999,860616.53666,3981,750358.9,397153.19979,2025-04-11 17:00:00
1744394400000,0.531,0.5329,0.524,0.5261,763270.8,1744397999999,403526.43017,2307,328376.6,173804.87385,2025-04-11 18:00:00
1744398000000,0.5261,0.533,0.5252,0.5297,639639.4,1744401599999,338434.56623,1534,381790.3,202099.04303,2025-04-11 19:00:00
1744401600000,0.5304,0.54,0.5225,0.5383,852845.5,1744405199999,453173.55244,1823,445954.7,237903.25612,2025-04-11 20:00:00
1744405200000,0.5381,0.542,0.5288,0.5316,618031.3,1744408799999,330722.72772,1292,336071.4,180184.88202,2025-04-11 21:00:00
1744408800000,0.5315,0.5338,0.5254,0.5266,386370.5,1744412399999,204399.12644,787,160005.6,84631.81155,2025-04-11 22:00:00
1744412400000,0.5265,0.5307,0.5206,0.528,588537.4,1744415999999,309049.60156,1427,398679.2,209382.68244,2025-04-11 23:00:00
1744416000000,0.5283,0.5514,0.5195,0.5508,1221277.1,1744419599999,659877.45727,3816,653861.1,353598.17007,2025-04-12 00:00:00
1744419600000,0.5506,0.5565,0.5423,0.5511,2297199.8,1744423199999,1264259.14625,4810,1243212.2,685119.23544,2025-04-12 01:00:00
1744423200000,0.551,0.5555,0.5426,0.5426,1136564.2,1744426799999,624808.91453,2878,491588.2,270278.42951,2025-04-12 02:00:00
1744426800000,0.5423,0.5506,0.5356,0.5398,549131.5,1744430399999,298259.58619,1818,219892.8,119666.14893,2025-04-12 03:00:00
1744430400000,0.5402,0.5513,0.5325,0.5503,750121.2,1744433999999,406778.07837,2080,304192.9,165723.53947,2025-04-12 04:00:00
1744434000000,0.5503,0.5642,0.5474,0.5566,1761641.8,1744437599999,979572.11963,5042,1038369.6,577220.56424,2025-04-12 05:00:00
1744437600000,0.5568,0.5682,0.5506,0.5536,2020764.9,1744441199999,1134127.4322,5668,1176872.3,661067.11634,2025-04-12 06:00:00
1744441200000,0.5533,0.569,0.5424,0.567,1985326.1,1744444799999,1104612.11961,7261,996754.0,555818.29324,2025-04-12 07:00:00
1744444800000,0.5669,0.5787,0.5567,0.5578,2020022.1,1744448399999,1150698.80261,7883,951041.3,542884.6894,2025-04-12 08:00:00
1744448400000,0.5576,0.5718,0.5529,0.5665,1426331.5,1744451999999,804671.27242,6290,728164.9,411866.1322,2025-04-12 09:00:00
1744452000000,0.5664,0.5665,0.5374,0.5397,1998797.5,1744455599999,1099299.90977,6802,709542.6,389928.7901,2025-04-12 10:00:00
1744455600000,0.5397,0.548,0.5388,0.545,656696.7,1744459199999,357636.63343,3085,307737.4,167789.09668,2025-04-12 11:00:00
1744459200000,0.5446,0.5618,0.5429,0.5522,830229.0,1744462799999,459420.20061,3835,412865.7,228643.63496,2025-04-12 12:00:00
1744462800000,0.552,0.5699,0.5499,0.5636,1079496.2,1744466399999,605241.53744,6161,629056.9,353046.61115,2025-04-12 13:00:00
1744466400000,0.5633,0.5894,0.5598,0.5723,2165539.2,1744469999999,1242914.50327,7157,1164690.1,668935.66372,2025-04-12 14:00:00
1744470000000,0.5724,0.598,0.5659,0.598,2185366.0,1744473599999,1272768.58766,3136,1013274.9,590970.11057,2025-04-12 15:00:00
1744473600000,0.5976,0.6,0.5861,0.5888,1134221.0,1744477199999,672581.5841,2262,516415.0,306347.42397,2025-04-12 16:00:00
1744477200000,0.5884,0.6181,0.5849,0.6057,1250281.1,1744480799999,753346.68877,2558,605575.1,365191.53693,2025-04-12 17:00:00
1744480800000,0.6059,0.6117,0.5996,0.6031,519263.5,1744484399999,314049.15715,1473,207272.6,125302.65072,2025-04-12 18:00:00
1744484400000,0.6026,0.612,0.5984,0.6014,462393.0,1744487999999,279779.60104,1307,184331.8,111630.61703,2025-04-12 19:00:00
1744488000000,0.6015,0.613,0.6003,0.6077,278587.3,1744491599999,168827.38723,776,138339.7,83810.93418,2025-04-12 20:00:00
1744491600000,0.6069,0.6173,0.6037,0.6081,313682.0,1744495199999,191440.67037,959,162618.3,99288.02603,2025-04-12 21:00:00
1744495200000,0.6087,0.6149,0.6028,0.6076,316549.3,1744498799999,192961.59039,932,168020.0,102664.26497,2025-04-12 22:00:00
1744498800000,0.6075,0.6162,0.6029,0.6136,520909.3,1744502399999,317672.62961,1331,261440.7,159857.6939,2025-04-12 23:00:00
1744502400000,0.6136,0.6373,0.6005,0.6022,1821882.1,1744505999999,1130279.27923,6887,825059.0,512653.37447,2025-04-13 00:00:00
1744506000000,0.602,0.6064,0.5866,0.5882,604434.5,1744509599999,360249.49022,2328,170784.0,102078.94595,2025-04-13 01:00:00
1744509600000,0.5883,0.594,0.5845,0.5927,463857.0,1744513199999,273240.63144,1744,244321.6,143990.4327,2025-04-13 02:00:00
1744513200000,0.5924,0.5936,0.5873,0.5911,227369.4,1744516799999,134422.47729,1132,87122.3,51522.00842,2025-04-13 03:00:00
1744516800000,0.591,0.5912,0.5827,0.5838,386713.6,1744520399999,226826.34832,1374,106021.2,62268.91164,2025-04-13 04:00:00
1744520400000,0.5836,0.5902,0.5822,0.5848,506451.1,1744523999999,297252.00371,1556,344172.8,202207.26696,2025-04-13 05:00:00
1744524000000,0.5848,0.5883,0.5844,0.5853,159937.4,1744527599999,93707.32525,935,115543.7,67691.28748,2025-04-13 06:00:00
1744527600000,0.5852,0.5898,0.58,0.5809,198909.4,1744531199999,116222.70288,894,68948.6,40394.59659,2025-04-13 07:00:00
1744531200000,0.5803,0.5819,0.5759,0.5788,353660.5,1744534799999,204882.26782,1030,135487.5,78540.5024,2025-04-13 08:00:00
1744534800000,0.5787,0.5872,0.5771,0.5857,240781.4,1744538399999,140509.78629,1061,150390.5,87811.94532,2025-04-13 09:00:00
1744538400000,0.5855,0.5896,0.5851,0.5883,363663.4,1744541999999,213725.87014,1111,212996.0,125232.53492,2025-04-13 10:00:00
1744542000000,0.5884,0.5908,0.5772,0.5813,227941.5,1744545599999,132759.41284,1015,100047.4,58348.88659,2025-04-13 11:00:00
1744545600000,0.5811,0.583,0.5756,0.5778,203204.3,1744549199999,117634.19649,1183,91009.0,52720.05498,2025-04-13 12:00:00
1744549200000,0.5781,0.5815,0.5625,0.5666,365417.8,1744552799999,208795.69041,1816,165109.7,94183.53995,2025-04-13 13:00:00
1744552800000,0.5664,0.5675,0.5501,0.5544,635806.0,1744556399999,354345.30639,3203,336046.5,187169.62807,2025-04-13 14:00:00
1744556400000,0.554,0.5549,0.5471,0.5531,498820.5,1744559999999,274461.39544,1892,317722.6,174842.11529,2025-04-13 15:00:00
1744560000000,0.5529,0.5648,0.5527,0.5639,289865.9,1744563599999,161943.48353,1539,181447.9,101279.29739,2025-04-13 16:00:00
1744563600000,0.5637,0.591,0.5627,0.5865,1016230.0,1744567199999,590320.30637,4129,651672.9,378266.09325,2025-04-13 17:00:00
1744567200000,0.5865,0.5956,0.5859,0.5869,451155.6,1744570799999,266353.94321,2602,229728.7,135624.55901,2025-04-13 18:00:00
1744570800000,0.5862,0.5882,0.5601,0.5662,869946.1,1744574399999,497780.47355,3431,388207.0,221757.39563,2025-04-13 19:00:00
1744574400000,0.5669,0.5714,0.5519,0.5542,251695.4,1744577999999,141520.483,1858,113072.7,63635.25013,2025-04-13 20:00:00
1744578000000,0.5546,0.5549,0.5361,0.5408,638357.2,1744581599999,347194.09765,2280,322951.7,175604.49633,2025-04-13 21:00:00
1744581600000,0.5407,0.5469,0.5247,0.5248,672372.3,1744585199999,358864.75053,2137,187405.6,100181.27899,2025-04-13 22:00:00
1744585200000,0.5247,0.5419,0.5227,0.5408,309318.1,1744588799999,164545.53755,1916,185618.4,98671.11045,2025-04-13 23:00:00
1744588800000,0.5404,0.554,0.5342,0.5419,457772.9,1744592399999,249781.96501,2263,267928.3,146345.57484,2025-04-14 00:00:00
1744592400000,0.542,0.5465,0.5406,0.5451,274135.4,1744595999999,149032.82749,1373,119435.0,64936.91623,2025-04-14 01:00:00
