timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609718400000,146.92,208.97,137.0,194.39,459618.064,1610323199999,78995954.7427688,369757,229264.60699,39485126.2637498,2021-01-04
1610323200000,194.55,229.0,147.51,216.96,447167.0938,1610927999999,88067355.2920126,336361,228308.73185,45090598.7867738,2021-01-11
1610928000000,217.14,253.04,165.47,250.06,300198.73694,1611532799999,63573956.2319536,265590,152352.5305,32372074.5229649,2021-01-18
1611532800000,250.38,349.0,205.16,347.19,456962.9072,1612137599999,123284567.4260661,459244,228453.58592,61883255.8395135,2021-01-25
1612137600000,347.46,553.99,330.85,457.41,523633.69855,1612742399999,224016179.713201,653794,255878.98755,110098308.2671084,2021-02-01
1612742400000,457.41,573.0,436.01,471.27,489374.23581,1613347199999,242619616.2598289,606313,242078.96181,120112969.5547466,2021-02-08
1613347200000,471.31,508.39,399.79,453.06,350772.35507,1613951999999,161894059.5113732,428814,172639.4141,79809583.0920077,2021-02-15
1613952000000,453.51,470.7,322.15,405.12,515848.02383,1614556799999,208826457.9488316,528184,259114.26403,105218111.7933097,2021-02-22
1614556800000,404.86,536.2,404.83,490.35,298275.5594,1615161599999,144269037.6003244,353411,146918.07257,70957571.9735709,2021-03-01
1615161600000,490.77,505.52,413.15,438.13,193251.04983,1615766399999,89498073.7113546,262153,100245.57889,46314609.7488478,2021-03-08
1615766400000,437.89,451.82,400.0,403.3,158714.70563,1616371199999,67971442.1812825,189201,90121.00311,38629863.0580006,2021-03-15
1616371200000,403.43,424.24,330.0,362.24,232933.2913,1616975999999,87101454.4481055,244383,121737.12257,45612294.1301024,2021-03-22
1616976000000,362.23,562.85,357.54,548.13,346985.32866,1617580799999,159458258.2128714,383855,183364.18902,84663988.1940291,2021-03-29
1617580800000,548.44,556.0,434.66,458.84,314092.65024,1618185599999,148511006.3639923,333181,156722.19795,74099764.4040628,2021-04-05
1618185600000,458.89,619.0,411.37,487.73,550092.85499,1618790399999,286512972.8152162,682716,276859.15617,144186436.898541,2021-04-12
1618790400000,487.71,665.69,423.39,553.46,899774.02279,1619395199999,488118613.3494115,1035154,456989.83018,248694250.4507672,2021-04-19
1619395200000,553.95,879.0,550.0,804.74,554514.86781,1619999999999,392209910.3841651,758189,276592.96957,196963978.3174859,2021-04-26
1620000000000,805.03,850.0,692.98,770.7,409375.82236,1620604799999,317079358.3943352,676132,201360.5667,156226890.8627714,2021-05-03
1620604800000,771.3,911.0,630.17,684.05,560379.93009,1621209599999,440281543.4428154,844393,270832.06031,212933070.2837583,2021-05-10
1621209600000,684.6,726.37,267.55,339.79,722511.81336,1621814399999,355207242.4990799,875380,356524.96955,174900721.523704,2021-05-17
1621814400000,340.34,464.76,328.44,406.25,403692.84914,1622419199999,161108779.9499649,478740,205966.34103,82214901.0057959,2021-05-24
1622419200000,405.51,459.64,376.8,388.28,235640.17647,1623023999999,98312075.158743,292359,118397.57277,49396462.692068,2021-05-31
1623024000000,388.3,412.38,278.66,324.15,290918.7445,1623628799999,97603410.2028836,291438,149294.97669,50146103.8189916,2021-06-07
1623628800000,324.22,349.0,259.57,293.66,220569.81953,1624233599999,67621322.7631614,215263,104684.79797,32073213.290206,2021-06-14
