timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1615161600000,0.2818,0.7608,0.2818,0.736,354873675.18,1615766399999,159395550.723333,566117,179241182.08,81151347.054991,2021-03-08
1615766400000,0.7387,0.8876,0.5,0.525,303631949.97,1616371199999,194631660.410117,772030,147941757.3,95626267.46254,2021-03-15
1616371200000,0.5251,0.58,0.3703,0.4559,105094181.31,1616975999999,48756970.192342,243735,51092755.41,23795903.908316,2021-03-22
1616976000000,0.4573,0.5617,0.4398,0.4757,94831387.72,1617580799999,47695381.933363,243334,45676022.37,23026171.464948,2021-03-29
1617580800000,0.4758,0.5555,0.39,0.4941,104417047.61,1618185599999,49262372.877833,256987,51180854.05,24269885.825146,2021-04-05
1618185600000,0.4941,0.5018,0.328,0.3683,62266314.86,1618790399999,26648611.244979,147832,28536593.21,12208545.532695,2021-04-12
1618790400000,0.3681,0.3935,0.2309,0.2447,75657763.71,1619395199999,22060346.116853,121862,35418221.52,10360264.524856,2021-04-19
1619395200000,0.2448,0.44,0.2425,0.413,165013427.96,1619999999999,59972616.148749,284881,83008144.25,30204067.906164,2021-04-26
1620000000000,0.413,0.4299,0.3297,0.3372,62009906.05,1620604799999,22914155.601261,125741,29436874.0,10902560.710167,2021-05-03
1620604800000,0.3372,0.4451,0.25,0.2937,295436585.23,1621209599999,104131106.232057,437210,151040064.06,53575482.056084,2021-05-10
1621209600000,0.2937,0.2971,0.1428,0.1615,315801363.54,1621814399999,67515847.399876,354010,158684134.38,34023349.338116,2021-05-17
1621814400000,0.1615,0.21,0.1486,0.1744,202469617.44,1622419199999,35939360.537242,221327,103700004.8,18388402.364861,2021-05-24
1622419200000,0.1744,0.21,0.1544,0.1719,117362258.17,1623023999999,21334437.0556,138438,60732431.56,11077201.877845,2021-05-31
1623024000000,0.1711,0.1868,0.1374,0.1541,104236014.15,1623628799999,16799446.350056,107581,54036469.33,8755272.360016,2021-06-07
1623628800000,0.1542,0.1688,0.1253,0.1347,146637309.45,1624233599999,22537955.818827,102799,72620607.19,11194528.408161,2021-06-14
1624233600000,0.1349,0.1356,0.084,0.108,164330723.42,1624838399999,18027708.113651,118044,80887412.62,8896942.363589,2021-06-21
1624838400000,0.1081,0.1173,0.098,0.1055,104287708.62,1625443199999,11148900.945463,73589,51812403.18,5542104.464247,2021-06-28
1625443200000,0.1054,0.1215,0.1,0.1062,90490527.35,1626047999999,9925353.268121,63839,45740500.37,5030456.622057,2021-07-05
1626048000000,0.1062,0.16,0.0986,0.1115,347363861.01,1626652799999,43860511.851144,267804,170814791.5,21584920.784931,2021-07-12
1626652800000,0.1114,0.1346,0.0954,0.1293,296149212.1,1627257599999,34395500.426142,231634,147696431.54,17163077.670954,2021-07-19
1627257600000,0.1293,0.156,0.1196,0.1285,216459714.71,1627862399999,28993241.934746,188959,106544649.44,14316093.104556,2021-07-26
1627862400000,0.1285,0.2468,0.1243,0.168,782727599.72,1628467199999,150000205.979259,629860,397474182.69,76373911.135706,2021-08-02
1628467200000,0.1685,0.2677,0.1648,0.2127,665576881.24,1629071999999,139169599.369487,471049,332435556.89,69655471.565469,2021-08-09
1629072000000,0.2127,0.2362,0.1824,0.2126,163010162.23,1629676799999,34314480.508905,172455,83635752.13,17647721.691974,2021-08-16
1629676800000,0.2126,0.2874,0.1886,0.2251,315612627.01,1630281599999,74358635.323528,299366,157906154.03,37400816.161213,2021-08-23
1630281600000,0.2252,0.339,0.2008,0.2636,393032517.48,1630886399999,106359396.986687,450358,199893775.1,54167078.117158,2021-08-30
1630886400000,0.2636,0.2878,0.1884,0.2491,246038732.51,1631491199999,58707041.30083,274833,127720634.9,30496353.8506,2021-09-06
