timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1742774400000,0.025,0.4382,0.025,0.2581,1347807892.7,1743379199999,457164587.28121,1921262,665270219.9,226172430.60965,2025-03-24
1743379200000,0.2582,0.2633,0.1548,0.1673,627847972.5,1743983999999,124170666.06463,727131,303014532.8,60097556.48001,2025-03-31
1743984000000,0.1672,0.2204,0.16,0.1787,534626179.6,1744588799999,97281264.84642,680478,256319183.3,46682618.23074,2025-04-07
1744588800000,0.1787,0.183,0.1399,0.1632,281024348.7,1745193599999,43378379.27022,299864,137042369.1,21175887.54811,2025-04-14
1745193600000,0.1631,0.195,0.1618,0.1924,188485039.4,1745798399999,33443928.33105,272750,89708462.8,15926833.91267,2025-04-21
1745798400000,0.1923,0.2372,0.1746,0.2343,225008140.1,1746403199999,45800016.27778,394473,106977140.0,21834271.70914,2025-04-28
1746403200000,0.2343,0.4213,0.2072,0.3781,781189297.2,1747007999999,227048995.29847,1658654,383041611.0,111704339.38219,2025-05-05
1747008000000,0.378,0.4269,0.2807,0.3134,217780743.3,1747612799999,78175010.02722,776372,104218738.3,37522077.82891,2025-05-12
1747612800000,0.3137,0.326,0.252,0.2735,87511746.8,1748217599999,25236695.09452,266610,41452290.6,11977527.48877,2025-05-19
1748217600000,0.2736,0.3059,0.2106,0.2474,183562187.9,1748822399999,47040585.85768,432138,87557797.5,22514660.26933,2025-05-26
1748822400000,0.2475,0.2576,0.2115,0.2384,82826443.2,1749427199999,19766494.33444,145105,38659684.2,9218625.31065,2025-06-02
1749427200000,0.2384,0.2681,0.2146,0.2416,66282264.8,1750031999999,15952080.67226,109189,29647477.6,7139318.56588,2025-06-09
1750032000000,0.2417,0.2612,0.1856,0.1979,84104387.7,1750636799999,18677278.44792,140698,39303868.3,8758243.58464,2025-06-16
1750636800000,0.198,0.2316,0.1867,0.2203,74884231.6,1751241599999,15462833.33819,114301,36923272.5,7618640.19529,2025-06-23
1751241600000,0.2203,0.2239,0.1671,0.1721,104758167.3,1751846399999,19948750.45137,168731,48056468.7,9195162.10508,2025-06-30
1751846400000,0.1723,0.2239,0.1624,0.1818,184411830.5,1752451199999,34847738.90221,162617,90775995.1,17143573.45783,2025-07-07
1752451200000,0.1819,0.1974,0.1713,0.1863,84444609.2,1753055999999,15626741.54477,104655,41600310.1,7707861.17764,2025-07-14
1753056000000,0.1864,0.286,0.1839,0.2215,343102513.1,1753660799999,77528020.09899,560910,167488065.7,37870936.04627,2025-07-21
1753660800000,0.2213,0.2252,0.1654,0.172,72136293.3,1754265599999,13652812.19861,132068,33203807.5,6277078.22525,2025-07-28
1754265600000,0.1718,0.2185,0.1707,0.1916,145295844.8,1754870399999,28582818.89298,206846,72698314.9,14313915.62329,2025-08-04
1754870400000,0.1916,0.2081,0.1774,0.1855,76897528.1,1755475199999,14772806.87581,127744,37546559.4,7222815.74534,2025-08-11
1755475200000,0.1855,0.1859,0.1764,0.1811,6367244.8,1756079999999,1149228.57368,10738,3300223.1,595590.21691,2025-08-18
