timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1682899200000,0.1,2.0,0.1,1.2431,842970072.0,1683503999999,1144495885.6563,2700191,410773869.1,558370497.45775,2023-05-01
1683504000000,1.243,1.2448,1.013,1.1591,614179044.3,1684108799999,695494554.00276,1839007,299209968.8,338954427.57134,2023-05-08
1684108800000,1.1589,1.2548,1.051,1.073,308539204.5,1684713599999,360258958.72184,930125,151510664.9,176953156.23438,2023-05-15
1684713600000,1.0729,1.098,0.9366,1.0617,263205632.1,1685318399999,265862365.51125,714191,129886472.3,131311054.89769,2023-05-22
1685318400000,1.0619,1.1,0.905,0.9602,287004354.2,1685923199999,283453224.62674,792680,142991053.7,141194919.57835,2023-05-29
1685923200000,0.9604,0.9715,0.51,0.6055,478444873.1,1686527999999,349355470.4888,1324501,230060080.7,168325635.88863,2023-06-05
1686528000000,0.6054,0.7961,0.5693,0.7207,507578925.3,1687132799999,353238998.05456,1235149,255718429.4,177998828.89026,2023-06-12
1687132800000,0.7206,0.8899,0.7093,0.7451,479215385.4,1687737599999,380146107.062,1280569,236114167.7,187311425.4394,2023-06-19
1687737600000,0.7451,0.7605,0.628,0.6907,305388635.8,1688342399999,212884844.19457,683952,148117719.7,103242656.13434,2023-06-26
1688342400000,0.6907,0.7389,0.6344,0.6591,222012749.7,1688947199999,151294177.68525,461144,106828948.4,72840458.87991,2023-07-03
1688947200000,0.6591,0.7634,0.6271,0.6726,241451471.1,1689551999999,165032477.24542,478566,119456485.1,81674285.95164,2023-07-10
1689552000000,0.6723,0.785,0.665,0.6787,374379950.8,1690156799999,270019934.10646,761269,183251818.1,132314740.00667,2023-07-17
1690156800000,0.6788,0.6806,0.6,0.6202,132575298.7,1690761599999,84155958.87833,283497,62634484.4,39754688.15459,2023-07-24
1690761600000,0.6203,0.65,0.5795,0.5921,166817292.5,1691366399999,101819861.63914,282248,81992410.5,50021977.47321,2023-07-31
1691366400000,0.5922,0.6269,0.5598,0.5983,122825234.8,1691971199999,73209740.92131,225668,59471375.1,35483141.75743,2023-08-07
1691971200000,0.5983,0.604,0.45,0.5437,354513389.3,1692575999999,189583135.23078,530380,170450998.4,91151476.44881,2023-08-14
1692576000000,0.5437,0.6258,0.4994,0.5838,489610477.6,1693180799999,277725001.37753,872653,247367844.0,140427756.8693,2023-08-21
1693180800000,0.5835,0.5837,0.4724,0.484,258375231.0,1693785599999,134260328.71402,499690,126714988.8,65870852.2139,2023-08-28
1693785600000,0.4841,0.4992,0.4441,0.4553,206791835.4,1694390399999,99179712.73085,292372,103414050.2,49626440.44484,2023-09-04
1694390400000,0.4551,0.4671,0.4185,0.4345,246557783.5,1694995199999,108944543.30254,338013,122517700.7,54136904.81951,2023-09-11
1694995200000,0.4346,0.4647,0.4259,0.439,156189246.6,1695599999999,69595669.95213,215139,77481104.9,34535755.26349,2023-09-18
1695600000000,0.4387,0.5099,0.4273,0.507,238515073.0,1696204799999,110830492.78806,325095,120092061.8,55862392.57866,2023-09-25
1696204800000,0.5071,0.5077,0.4252,0.4377,217550451.5,1696809599999,98242715.98423,284310,108278041.1,48904899.15895,2023-10-02
1696809600000,0.4379,0.4388,0.4006,0.4105,152521201.6,1697414399999,62936684.92954,189952,73265612.0,30227910.71115,2023-10-09
1697414400000,0.4105,0.43,0.362,0.4043,294432829.2,1698019199999,114937520.61758,350921,146013806.9,56991733.05754,2023-10-16
1698019200000,0.4043,0.4786,0.392,0.4527,435972712.9,1698623999999,190939553.84095,652376,214110365.2,93819088.88582,2023-10-23
1698624000000,0.4527,0.5238,0.42,0.5001,411047633.7,1699228799999,192327516.09949,666737,198495214.9,92914410.37414,2023-10-30
1699228800000,0.4999,0.6459,0.4797,0.6179,615686917.3,1699833599999,347428861.13852,1080838,302022693.7,170554432.82181,2023-11-06
1699833600000,0.6179,0.66,0.514,0.5633,517579436.0,1700438399999,304689333.39576,942744,256261288.4,150918217.50024,2023-11-13
1700438400000,0.5632,0.6891,0.5,0.6349,459732067.8,1701043199999,274426342.26471,893132,227375361.7,135906471.84675,2023-11-20
1701043200000,0.6349,0.6475,0.5639,0.6153,326617397.5,1701647999999,198340627.82845,1020442,156105351.1,94776911.05304,2023-11-27
1701648000000,0.6152,0.7268,0.5557,0.6925,458218763.6,1702252799999,298658592.84589,1492244,223250850.1,145584303.94302,2023-12-04
