timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1712534400000,439.8,1249.0,400.0,586.5,611697.0317,1713139199999,380483103.78853,1221694,308118.2239,191707927.39699,2024-04-08
1713139200000,586.5,594.4,426.3,474.8,349634.9803,1713743999999,168874225.07828,554449,173076.9634,83644449.14476,2024-04-15
1713744000000,474.7,532.7,410.0,423.3,200405.0155,1714348799999,93434741.01385,426455,95056.9206,44312048.78044,2024-04-22
1714348800000,423.3,478.8,340.3,455.4,290933.4647,1714953599999,117118332.64491,695679,139899.4068,56251108.99708,2024-04-29
1714953600000,455.2,488.4,359.4,362.9,267648.339,1715558399999,108131311.39538,615036,129161.7713,52241126.00394,2024-05-06
1715558400000,362.9,406.1,333.5,365.4,287595.0407,1716163199999,107247898.42175,667014,143561.0072,53625808.37328,2024-05-13
1716163200000,365.3,491.1,358.1,435.9,384326.791,1716767999999,166972696.39831,1001476,195761.1583,85074816.20676,2024-05-20
1716768000000,436.0,450.4,378.0,381.1,253083.5024,1717372799999,102532729.22281,551839,123100.1706,49949435.48088,2024-05-27
1717372800000,381.0,435.4,320.0,362.0,400029.4549,1717977599999,157082530.62338,801933,202849.3774,79900220.78354,2024-06-03
1717977600000,362.0,372.2,290.0,306.0,504646.2256,1718582399999,165446990.73099,955181,243920.1735,80071135.16618,2024-06-10
1718582400000,306.0,321.0,236.2,272.6,482750.8488,1719187199999,139409353.98406,1107292,238366.0984,68886692.5598,2024-06-17
1719187200000,272.6,295.2,252.2,272.1,295173.2363,1719791999999,81338635.11214,646003,145231.7782,40044514.10593,2024-06-24
1719792000000,272.1,285.0,193.1,216.2,543423.6278,1720396799999,127398706.02286,836969,258150.6439,60454580.16479,2024-07-01
1720396800000,216.2,279.4,204.8,276.9,423434.8759,1721001599999,103751143.87313,692333,213009.218,52200387.11752,2024-07-08
1721001600000,276.8,360.6,275.7,350.3,372858.9839,1721606399999,118369410.88935,745923,185475.9906,58804623.42768,2024-07-15
1721606400000,350.4,367.0,301.0,335.4,318599.0023,1722211199999,106585762.8771,627857,149082.0975,49977325.68644,2024-07-22
1722211200000,335.3,347.6,207.5,217.8,365541.4548,1722815999999,100593594.78249,640586,170265.0385,46537549.84299,2024-07-29
1722816000000,217.7,328.7,163.7,284.6,948046.7969,1723420799999,235301229.36693,1373628,472156.4655,117268836.49727,2024-08-05
1723420800000,284.6,298.2,255.0,280.5,466224.4731,1724025599999,129730150.68329,710971,229758.6485,64027630.06719,2024-08-12
1724025600000,280.6,356.9,275.1,349.0,449612.179,1724630399999,143779180.40923,852684,233659.0183,74841645.04706,2024-08-19
1724630400000,349.0,364.6,261.2,263.7,489604.0912,1725235199999,150710416.204,869402,239234.4786,73875312.4553,2024-08-26
1725235200000,263.6,287.2,219.6,246.0,490851.4745,1725839999999,122147978.57103,663703,237263.9847,59079410.05186,2024-09-02
1725840000000,246.1,336.8,245.7,302.0,560513.5534,1726444799999,163965836.62237,849358,280200.0309,82006416.68313,2024-09-09
1726444800000,302.1,484.3,282.2,469.6,1072746.2152,1727049599999,406305260.40799,1430992,536499.3408,203077336.56797,2024-09-16
1727049600000,469.8,599.4,460.3,560.6,1167842.4975,1727654399999,638079689.67081,1973649,582393.3234,318264197.38791,2024-09-23
1727654400000,560.8,637.0,471.7,634.9,1109527.9667,1728259199999,610638386.18878,1668292,548367.613,302274263.0231,2024-09-30
1728259200000,634.9,682.2,536.0,640.5,854348.75,1728863999999,527210443.64196,1644036,418168.8151,257870238.49714,2024-10-07
