timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609718400000,0.2254,0.37,0.21774,0.31491,13266834965.0,1610323199999,3862856941.764842,5826126,6642241391.5,1935163683.496862,2021-01-04
1610323200000,0.31487,0.31627,0.25343,0.27746,6869609306.5,1610927999999,1972356986.283047,3057122,3406034493.7,978598788.057339,2021-01-11
1610928000000,0.27741,0.33,0.24021,0.27339,5175176228.2,1611532799999,1476142345.174608,2214186,2547274762.9,726805699.578408,2021-01-18
1611532800000,0.27335,0.5178,0.24388,0.49507,13924474533.2,1612137599999,5327146623.567238,6334860,7001431415.4,2684321729.005541,2021-01-25
1612137600000,0.49516,0.755,0.3401,0.41849,17934624892.3,1612742399999,8435707021.847382,9265736,8847602377.4,4168897414.939799,2021-02-01
1612742400000,0.41848,0.64244,0.4125,0.59211,9686713793.3,1613347199999,5143818660.696893,6003041,4877920801.1,2592227678.543092,2021-02-08
1613347200000,0.59217,0.6043,0.47231,0.54468,7441687077.2,1613951999999,4037272059.425786,4819941,3674026649.2,1994972466.057388,2021-02-15
1613952000000,0.54468,0.65155,0.365,0.41565,10025570601.7,1614556799999,5016344232.866005,5289856,4920451044.2,2464991605.485539,2021-02-22
1614556800000,0.4157,0.49449,0.41207,0.46558,4576311284.7,1615161599999,2070369525.841463,2573841,2294188021.5,1037950013.516653,2021-03-01
1615161600000,0.46579,0.48987,0.42205,0.43905,3937347706.3,1615766399999,1811030935.300387,2298286,1977709488.0,909731737.398026,2021-03-08
1615766400000,0.439,0.54999,0.42268,0.51651,5478680455.5,1616371199999,2643529745.490456,3373206,2726587998.0,1316078682.599346,2021-03-15
1616371200000,0.51661,0.6,0.45212,0.54552,6086074067.7,1616975999999,3305548094.719276,3971701,3064606852.3,1665417364.483038,2021-03-22
1616976000000,0.5455,0.64262,0.52624,0.635,4942923356.5,1617580799999,2877925604.5098,3651713,2469326552.9,1438612847.127396,2021-03-29
1617580800000,0.63501,1.5,0.6194,1.35118,16389946875.04,1618185599999,16915448258.812193,15850792,8311499374.87,8579044710.774044,2021-04-05
1618185600000,1.35118,1.96689,1.16,1.40797,11851446340.22,1618790399999,18997180555.549675,17152952,5913988538.73,9486178879.809877,2021-04-12
1618790400000,1.40797,1.5339,0.88601,1.0351,11001436346.12,1619395199999,13434382663.390217,11591089,5446509818.2,6658948227.440927,2021-04-19
1619395200000,1.0353,1.6666,1.0133,1.5605,8033448295.12,1619999999999,11319537894.27378,9872711,4087104642.05,5759464584.53506,2021-04-26
1620000000000,1.5605,1.7658,1.32,1.5345,6951506158.34,1620604799999,10787985899.85416,9836939,3484303468.63,5411948378.243496,2021-05-03
1620604800000,1.5343,1.627,1.2,1.4496,7982188639.24,1621209599999,11413463115.35204,10764749,3968121629.21,5676205827.367456,2021-05-10
1621209600000,1.4496,1.705,0.65,0.7898,13797382259.36,1621814399999,16200703668.750002,15788151,6843019775.24,8056852458.338839,2021-05-17
1621814400000,0.7899,1.07,0.7537,0.9058,8464136353.68,1622419199999,7807937786.275767,8909079,4264690805.93,3935173004.252531,2021-05-24
1622419200000,0.9058,1.1,0.8789,0.947,5558981760.73,1623023999999,5518473038.714771,5907650,2801680979.3,2781770705.74305,2021-05-31
1623024000000,0.9469,0.976,0.7838,0.8832,4159969419.5,1623628799999,3615346384.165707,3416631,2061725343.55,1792289602.727204,2021-06-07
1623628800000,0.8833,0.93,0.6968,0.7741,2801385721.03,1624233599999,2303868302.113555,2324164,1370048212.11,1126993082.287017,2021-06-14
1624233600000,0.7741,0.7803,0.509,0.6484,6302869143.23,1624838399999,3915294639.865441,3853889,3106464499.87,1929233182.282947,2021-06-21
1624838400000,0.6483,0.734,0.6238,0.696,3327095608.11,1625443199999,2234172356.356128,2396589,1662686807.48,1116520523.725853,2021-06-28
1625443200000,0.696,0.697,0.5917,0.6364,2319102535.54,1626047999999,1493557160.357186,1555078,1145265517.31,737690712.283454,2021-07-05
1626048000000,0.6363,0.6575,0.56,0.5866,2152237858.25,1626652799999,1308903828.138493,1840587,1049174537.59,638272166.588004,2021-07-12
