timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609718400000,1.108,1.615,0.9666,1.2058,153906104.1,1610323199999,195187834.629175,678291,77411939.01,98428598.933309,2021-01-04
1610323200000,1.2032,2.19,0.9623,2.0362,156230442.66,1610927999999,230016280.509761,618784,79863322.69,118647808.063542,2021-01-11
1610928000000,2.0283,2.49,1.4113,2.4743,128688513.08,1611532799999,244291764.231012,592537,63498823.49,120873153.35261,2021-01-18
1611532800000,2.4707,5.55,2.18,4.9309,224793683.25,1612137599999,797094993.930081,1555526,113920219.54,405588047.69541,2021-01-25
1612137600000,4.9307,6.33,4.2715,4.9512,148686675.07,1612742399999,757422180.331335,1580469,72628759.21,370388165.491231,2021-02-01
1612742400000,4.9513,6.29,4.4,5.25,137108505.66,1613347199999,734415696.620905,1582369,68719041.73,368995078.116488,2021-02-08
1613347200000,5.25,5.8976,4.205,5.0575,130621595.32,1613951999999,653426162.300277,1405780,65316363.63,327693540.892175,2021-02-15
1613952000000,5.0575,5.1676,3.0,3.8407,178562397.05,1614556799999,746770152.674205,1796122,88024565.12,369035756.905343,2021-02-22
1614556800000,3.8408,4.3556,3.52,3.9827,78991904.33,1615161599999,314171385.025757,796050,39504824.96,157440570.588855,2021-03-01
1615161600000,3.988,4.555,3.6302,3.8322,91004367.55,1615766399999,373660056.095336,938188,45802531.36,188345796.00756,2021-03-08
1615766400000,3.8358,5.2445,3.72,4.6725,97097387.71,1616371199999,439182386.928248,1148455,49253126.23,222729947.557525,2021-03-15
1616371200000,4.6701,4.8481,3.567,4.0882,55371545.27,1616975999999,227527244.675962,652551,26526822.31,109054762.447396,2021-03-22
1616976000000,4.0876,4.7999,4.0245,4.57,54280976.99,1617580799999,241628875.170734,673618,27415061.71,122138435.365152,2021-03-29
1617580800000,4.57,6.67,4.4219,5.6706,157281417.98,1618185599999,897439529.747931,1932908,79255412.98,452978459.029219,2021-04-05
1618185600000,5.6733,6.65,4.5,5.2943,83552757.57,1618790399999,479262694.443404,1137765,40847909.63,234636050.063257,2021-04-12
1618790400000,5.2928,5.4598,3.7536,3.9961,67737668.31,1619395199999,314729386.362741,846477,32770931.29,152712005.855907,2021-04-19
1619395200000,3.9969,5.91,3.9411,5.3614,72048315.92,1619999999999,380122028.743179,985233,36240288.2,191149393.885417,2021-04-26
1620000000000,5.3612,7.8748,5.1855,7.0801,127090472.13,1620604799999,842848168.905131,2081408,63900279.19,424130939.019738,2021-05-03
1620604800000,7.0806,7.1879,4.65,5.1263,88224247.82,1621209599999,521921618.763459,1497468,43452489.93,257524717.943181,2021-05-10
1621209600000,5.1261,5.4228,1.7777,2.3355,132727757.68,1621814399999,471561833.721601,1580918,64547377.85,230457569.280679,2021-05-17
1621814400000,2.3344,3.5,2.29,2.8861,79247197.9,1622419199999,229859433.32911,949365,38764101.92,112593093.150417,2021-05-24
1622419200000,2.8835,4.1176,2.7458,3.9098,82992547.55,1623023999999,290489752.437805,1015706,41010674.15,143052640.823869,2021-05-31
1623024000000,3.9098,3.9153,2.5172,3.0067,66314154.24,1623628799999,202916159.724334,665347,33234377.43,101606672.855613,2021-06-07
1623628800000,3.0021,3.9499,2.8065,3.398,80094297.85,1624233599999,277254385.729702,959424,38440792.82,132820525.788991,2021-06-14
1624233600000,3.3972,3.49,2.07,2.5061,77833256.66,1624838399999,204603215.192692,731447,38282055.11,100714328.996329,2021-06-21
1624838400000,2.5058,2.7039,2.2625,2.531,46721928.41,1625443199999,115628985.809621,438174,23384173.85,57837166.630595,2021-06-28
1625443200000,2.5336,2.969,2.3461,2.5177,41017351.61,1626047999999,108351931.654772,431657,20238735.75,53481079.765348,2021-07-05
1626048000000,2.5196,2.59,1.95,2.0297,34055161.35,1626652799999,74363352.536944,290606,15750129.16,34443796.514345,2021-07-12
1626652800000,2.0297,2.15,1.618,2.0447,62428080.81,1627257599999,121422078.974056,470108,31189925.21,60689552.870877,2021-07-19
1627257600000,2.0442,2.4854,2.0188,2.317,66792526.57,1627862399999,150854630.048542,596216,33391858.53,75455143.56058,2021-07-26
1627862400000,2.3171,2.7197,2.1819,2.4907,61192212.7,1628467199999,149393226.000665,561899,29408432.35,71812648.064707,2021-08-02
1628467200000,2.4913,3.1083,2.4,3.0447,75787154.47,1629071999999,217680397.372936,769940,37758514.7,108400640.892385,2021-08-09
1629072000000,3.0454,3.6215,2.94,3.3849,98842820.57,1629676799999,323178343.991928,1187978,49627849.22,162454289.183034,2021-08-16
1629676800000,3.3861,3.5042,2.836,3.153,59803587.0,1630281599999,191143321.276806,648951,29577929.81,94539284.510588,2021-08-23
1630281600000,3.153,4.012,2.948,3.834,81296545.64,1630886399999,279098917.863542,1296140,40938292.42,140804343.232882,2021-08-30
1630886400000,3.834,3.96,2.546,2.989,76511130.48,1631491199999,238795623.438413,912602,37164642.5,115979668.613731,2021-09-06
1631491200000,2.987,3.515,2.693,2.945,68607120.1,1632095999999,216952598.115,884390,33567311.5,106124669.3194,2021-09-13
1632096000000,2.947,2.955,2.214,2.679,77077391.36,1632700799999,199238082.923921,807761,38525385.19,99610330.535297,2021-09-20
1632700800000,2.679,3.249,2.362,3.079,84350262.2,1633305599999,234808859.6638,990881,41901249.7,116763997.5835,2021-09-27
1633305600000,3.078,3.367,2.888,2.952,63218195.8,1633910399999,199045150.1993,890099,31079741.5,97893003.5506,2021-10-04
1633910400000,2.951,3.575,2.701,3.483,85703081.0,1634515199999,274116478.5364,1507504,42755420.6,136816472.6145,2021-10-11
1634515200000,3.483,4.5478,3.298,3.803,98698967.82,1635119999999,385511264.723471,2069655,50058162.95,195789151.943141,2021-10-18
1635120000000,3.804,7.73,3.763,4.576,247927227.29,1635724799999,1376722655.933984,4101874,123089100.49,687302322.469084,2021-10-25
1635724800000,4.573,4.761,4.133,4.571,61023490.0,1636329599999,273336620.6424,1120260,29464692.7,131985479.2218,2021-11-01
1636329600000,4.572,4.732,3.782,4.279,55958453.9,1636934399999,241556988.6986,1155783,27546842.6,118968159.5818,2021-11-08
1636934400000,4.278,4.36,3.466,3.987,55994061.5,1637539199999,218783342.6985,965447,26733285.8,104591042.5967,2021-11-15
1637539200000,3.988,4.308,3.364,3.646,79829533.5,1638143999999,312962977.3023,1239971,38221446.7,150000872.8057,2021-11-22
1638144000000,3.648,4.259,1.994,2.637,141917121.96,1638748799999,469223828.712122,1626435,67723064.2,224738188.84532,2021-11-29
1638748800000,2.638,2.97,2.359,2.547,74721880.9,1639353599999,196248878.2418,766441,37366874.1,98057277.716,2021-12-06
1639353600000,2.548,2.731,2.229,2.423,67983752.0,1639958399999,170219925.2546,647740,34101994.6,85396989.7995,2021-12-13
1639958400000,2.423,2.98,2.3,2.755,82779536.3,1640563199999,221325676.9058,825577,42315814.8,113092309.2769,2021-12-20
1640563200000,2.758,2.982,2.336,2.554,74360878.6,1641167999999,192448364.8048,643144,37881193.7,97954362.4659,2021-12-27
1641168000000,2.553,2.66,2.034,2.151,82584862.7,1641772799999,193377329.467,687936,41298643.1,96646908.8438,2022-01-03
1641772800000,2.15,2.524,1.965,2.435,86731734.4,1642377599999,201319492.97622,763783,42871128.6,99431426.6653,2022-01-10
1642377600000,2.435,2.449,1.5,1.691,70985209.98,1642982399999,137986798.10283,431549,34437683.1,66942234.8442,2022-01-17
1642982400000,1.689,1.829,1.422,1.662,57593650.05,1643587199999,93237416.648836,326980,28909933.43,46815348.21098,2022-01-24
1643587200000,1.66,1.868,1.575,1.859,39614122.1,1644191999999,67913214.991,262522,19745013.8,33868398.9222,2022-01-31
1644192000000,1.86,1.983,1.612,1.657,42899857.1,1644796799999,78885461.0916,312467,20721488.8,38165769.6529,2022-02-07
1644796800000,1.657,1.872,1.456,1.486,35973325.6,1645401599999,60269528.2605,218998,17505470.7,29316447.276,2022-02-14
1645401600000,1.485,1.553,1.181,1.384,45837224.39,1646006399999,63440142.25484,255269,22821139.33,31587192.03231,2022-02-21
1646006400000,1.384,1.553,1.291,1.303,36010565.7,1646611199999,51425287.1567,222590,18082884.4,25810705.509,2022-02-28
1646611200000,1.302,1.472,1.23,1.309,35038793.8,1647215999999,46981212.6184,227631,17612882.5,23634690.3982,2022-03-07
1647216000000,1.308,1.745,1.286,1.557,64182520.1,1647820799999,98234948.3121,443707,32175068.9,49277669.3473,2022-03-14
1647820800000,1.557,1.767,1.512,1.747,53252538.0,1648425599999,86066043.4401,400386,26683302.6,43159379.9066,2022-03-21
1648425600000,1.747,2.1,1.667,1.979,88124979.7,1649030399999,165349915.8708,901137,43239069.4,81088278.6697,2022-03-28
1649030400000,1.979,2.004,1.564,1.586,42412482.0,1649635199999,74197739.6504,392382,20689491.6,36199499.2211,2022-04-04
1649635200000,1.586,1.603,1.421,1.461,23084272.4,1650239999999,34849014.0768,181777,11259796.4,16996626.6076,2022-04-11
1650240000000,1.461,1.639,1.379,1.419,27035601.4,1650844799999,41249790.5539,216727,13198067.4,20143485.2102,2022-04-18
1650844800000,1.418,1.426,1.071,1.16,35439160.53,1651449599999,44986609.100305,234771,18076698.2,22890356.10771,2022-04-25
1651449600000,1.159,1.399,1.122,1.301,99405237.8,1652054399999,128395608.8679,507412,49801117.6,64381422.2102,2022-05-02
1652054400000,1.301,1.369,0.705,0.979,157698914.25,1652659199999,159155129.827896,748800,75246325.0,76015823.8732,2022-05-09
1652659200000,0.979,1.017,0.89,0.997,41651980.3,1653263999999,38905158.703,174719,19864154.2,18564314.885,2022-05-16
1653264000000,0.996,1.055,0.882,0.921,35661545.3,1653868799999,33845400.1769,158136,16934097.4,16082393.7907,2022-05-23
1653868800000,0.92,1.014,0.849,0.859,48932448.3,1654473599999,45614769.5402,157858,24358778.2,22686706.8204,2022-05-30
1654473600000,0.859,0.898,0.648,0.651,43042581.7,1655078399999,34100045.482493,139102,22849556.7,18162602.8532,2022-06-06
1655078400000,0.652,0.661,0.514,0.58,57949240.54,1655683199999,33972737.25307,150487,26090549.3,15214887.273,2022-06-13
1655683200000,0.581,0.786,0.558,0.692,79915089.6,1656287999999,56427678.1953,270701,40122778.4,28331304.0682,2022-06-20
