timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,1.259,1.2885,1.2044,1.2343,2651143.98,1609487999999,3270252.316455,12132,1210742.11,1496174.641486,2021-01-01 04:00:00
1609488000000,1.2343,1.2516,1.1212,1.1725,4211842.36,1609502399999,4921929.91976,17895,1705929.15,1994891.704505,2021-01-01 08:00:00
1609502400000,1.1703,1.2164,1.13,1.1702,3849226.11,1609516799999,4537691.212035,15319,2003038.12,2364580.518398,2021-01-01 12:00:00
1609516800000,1.1701,1.2072,1.0863,1.1378,3113645.32,1609531199999,3551415.779408,15073,1318706.08,1510656.865681,2021-01-01 16:00:00
1609531200000,1.1353,1.1709,1.115,1.155,1373712.27,1609545599999,1564885.125523,7784,666464.71,759728.231126,2021-01-01 20:00:00
1609545600000,1.1521,1.1607,1.08,1.0952,1914101.01,1609559999999,2133095.090599,9222,868071.3,969260.392015,2021-01-02 00:00:00
1609560000000,1.0973,1.1138,1.085,1.095,842687.93,1609574399999,927118.572039,4619,312582.91,343992.831897,2021-01-02 04:00:00
1609574400000,1.0951,1.1172,1.0262,1.07,1948951.18,1609588799999,2073500.259796,8759,780753.73,830776.504537,2021-01-02 08:00:00
1609588800000,1.0691,1.1323,1.0604,1.1091,2084029.78,1609603199999,2281599.634541,10312,1044101.63,1144666.53192,2021-01-02 12:00:00
1609603200000,1.1096,1.1323,1.05,1.069,2317584.06,1609617599999,2538928.366758,10055,991642.26,1087755.01889,2021-01-02 16:00:00
1609617600000,1.0713,1.0734,1.0,1.025,2815392.2,1609631999999,2907194.697017,11961,1117822.93,1156008.307195,2021-01-02 20:00:00
1609632000000,1.0259,1.0692,1.0177,1.032,1067670.59,1609646399999,1112856.442924,5046,517488.71,539991.281797,2021-01-03 00:00:00
1609646400000,1.0323,1.0557,0.96,0.9856,2590810.14,1609660799999,2616294.315969,8140,1252078.41,1260844.31953,2021-01-03 04:00:00
1609660800000,0.9853,1.0061,0.9456,0.9955,2798788.68,1609675199999,2728979.495806,10403,1610186.41,1569219.617758,2021-01-03 08:00:00
1609675200000,0.9974,1.1568,0.9952,1.112,7241796.71,1609689599999,7778734.206916,23320,3619141.92,3890382.341568,2021-01-03 12:00:00
1609689600000,1.1143,1.1427,1.0608,1.0856,3719212.08,1609703999999,4102237.191211,13517,1929439.76,2130173.031614,2021-01-03 16:00:00
1609704000000,1.0859,1.14,1.0665,1.108,2729425.81,1609718399999,3040320.123813,9898,1335937.57,1492229.38285,2021-01-03 20:00:00
1609718400000,1.108,1.24,1.0968,1.2068,4174076.25,1609732799999,4928860.923886,16006,2176837.26,2562555.482106,2021-01-04 00:00:00
1609732800000,1.2068,1.209,1.1,1.1098,4385773.55,1609747199999,5107620.616567,16461,2290858.35,2671789.343944,2021-01-04 04:00:00
1609747200000,1.1123,1.15,0.9666,1.0518,5161389.34,1609761599999,5436710.606975,18376,2604926.98,2749114.000123,2021-01-04 08:00:00
1609761600000,1.0517,1.0675,1.0125,1.0596,1888069.33,1609775999999,1970585.055801,7258,835660.08,873654.132592,2021-01-04 12:00:00
1609776000000,1.0588,1.065,1.0066,1.0556,1869337.73,1609790399999,1937307.95958,6803,895896.87,928961.395745,2021-01-04 16:00:00
1609790400000,1.055,1.062,1.0061,1.0317,1235804.16,1609804799999,1271647.955971,4141,621893.47,639620.226877,2021-01-04 20:00:00
1609804800000,1.0317,1.0783,1.0164,1.0188,1604006.25,1609819199999,1688216.845927,8711,763245.56,803397.9422,2021-01-05 00:00:00
1609819200000,1.0188,1.05,0.98,1.0099,1276819.71,1609833599999,1298462.88425,5787,554535.79,567315.561845,2021-01-05 04:00:00
1609833600000,1.0106,1.139,1.0106,1.1188,4464405.62,1609847999999,4853628.924957,18890,2386399.9,2596580.135366,2021-01-05 08:00:00
1609848000000,1.1194,1.1793,1.0505,1.1782,5183407.78,1609862399999,5806066.27946,18660,2616560.23,2941551.776571,2021-01-05 12:00:00
1609862400000,1.1782,1.248,1.1505,1.2009,4929319.73,1609876799999,5919657.600894,18884,2658044.19,3193186.91738,2021-01-05 16:00:00
