timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,88.441,89.393,85.793,86.553,32813.938,1609487999999,2883025.245052,6898,18138.325,1593344.991682,2021-01-01 04:00:00
1609488000000,86.644,88.807,84.645,87.868,29408.922,1609502399999,2562010.442179,6969,14726.257,1285485.789754,2021-01-01 08:00:00
1609502400000,87.843,88.5,86.0,87.169,19885.814,1609516799999,1734197.153755,5311,9488.743,827710.163844,2021-01-01 12:00:00
1609516800000,87.233,90.517,86.315,86.827,47365.942,1609531199999,4187307.281131,10991,25122.352,2223183.141768,2021-01-01 16:00:00
1609531200000,86.735,90.832,86.562,90.711,19927.211,1609545599999,1765124.801048,4730,10485.92,930713.113219,2021-01-01 20:00:00
1609545600000,90.827,91.99,86.45,86.99,36590.359,1609559999999,3240207.187362,8258,16167.448,1432679.32021,2021-01-02 00:00:00
1609560000000,86.904,86.992,85.421,86.538,27882.33,1609574399999,2405479.506075,5007,11116.464,959028.197478,2021-01-02 04:00:00
1609574400000,86.538,86.944,82.713,83.741,33717.39,1609588799999,2852865.084154,7049,15578.092,1319254.578206,2021-01-02 08:00:00
1609588800000,83.764,86.848,82.473,86.046,31064.595,1609603199999,2647764.76467,7237,13982.982,1192217.464881,2021-01-02 12:00:00
1609603200000,86.097,87.276,84.995,86.794,33861.01,1609617599999,2918648.608231,7140,16490.995,1421877.509649,2021-01-02 16:00:00
1609617600000,86.808,86.808,83.1,85.768,36640.845,1609631999999,3118641.796388,9380,17982.948,1530905.951293,2021-01-02 20:00:00
1609632000000,85.754,85.99,83.399,84.491,17298.64,1609646399999,1460415.653057,4063,8440.042,712555.411672,2021-01-03 00:00:00
1609646400000,84.534,84.785,82.501,82.506,17562.826,1609660799999,1463443.260556,4062,6495.012,541980.967863,2021-01-03 04:00:00
1609660800000,82.538,85.0,81.291,84.807,29871.619,1609675199999,2488028.39415,7130,15266.544,1273044.295654,2021-01-03 08:00:00
