timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,6.185,6.216,5.857,6.026,1316130.819,1609487999999,7943556.168651,16155,835325.619,5044706.138212,2021-01-01 04:00:00
1609488000000,6.025,6.087,5.862,6.006,751285.771,1609502399999,4500330.429396,10605,437804.83,2623514.706774,2021-01-01 08:00:00
1609502400000,6.008,6.095,5.88,5.921,1004804.311,1609516799999,6029444.942749,13474,610514.676,3663333.817939,2021-01-01 12:00:00
1609516800000,5.922,5.96,5.588,5.801,1364827.833,1609531199999,7877500.992343,17510,671152.124,3877443.094454,2021-01-01 16:00:00
1609531200000,5.799,5.91,5.759,5.861,649279.263,1609545599999,3781078.592872,6636,344915.079,2009444.811538,2021-01-01 20:00:00
1609545600000,5.859,5.881,5.56,5.735,918433.223,1609559999999,5226323.059119,10030,466955.958,2655391.767391,2021-01-02 00:00:00
1609560000000,5.736,5.746,5.574,5.595,659923.939,1609574399999,3738082.004902,7204,382198.4,2166426.880131,2021-01-02 04:00:00
1609574400000,5.594,5.608,5.389,5.461,1254505.06,1609588799999,6874496.217872,13090,721814.721,3953532.045836,2021-01-02 08:00:00
1609588800000,5.46,5.659,5.28,5.608,3607982.878,1609603199999,19588411.993664,30744,2155820.097,11677817.042721,2021-01-02 12:00:00
1609603200000,5.609,5.694,5.426,5.644,1486668.432,1609617599999,8261864.570704,16519,771422.599,4288191.738587,2021-01-02 16:00:00
1609617600000,5.644,5.658,5.18,5.42,897871.286,1609631999999,4863642.820733,13690,468915.449,2541219.736573,2021-01-02 20:00:00
1609632000000,5.416,5.566,5.279,5.439,727283.843,1609646399999,3945378.79494,8111,351561.821,1902220.354371,2021-01-03 00:00:00
1609646400000,5.437,5.461,5.327,5.343,390998.532,1609660799999,2114299.874249,5263,178959.545,967919.728371,2021-01-03 04:00:00
1609660800000,5.339,5.726,5.31,5.627,810300.098,1609675199999,4457439.859025,10867,412173.361,2265585.497957,2021-01-03 08:00:00
1609675200000,5.623,5.836,5.48,5.602,1331898.463,1609689599999,7504993.510114,19653,702555.617,3958549.52712,2021-01-03 12:00:00
1609689600000,5.596,5.78,5.542,5.608,841197.748,1609703999999,4762935.01022,11263,419904.902,2379033.219026,2021-01-03 16:00:00
1609704000000,5.607,5.911,5.601,5.829,848188.499,1609718399999,4901070.912384,12334,388463.283,2243707.331533,2021-01-03 20:00:00
1609718400000,5.831,6.179,5.831,6.103,1060901.938,1609732799999,6379971.584579,16513,535585.916,3219913.55432,2021-01-04 00:00:00
1609732800000,6.1,6.269,5.601,5.743,1348923.293,1609747199999,8037075.764835,20066,656568.468,3921534.229686,2021-01-04 04:00:00
1609747200000,5.75,6.05,5.259,5.69,2849740.196,1609761599999,16385212.841553,44719,1096396.885,6270422.816133,2021-01-04 08:00:00
1609761600000,5.697,5.952,5.626,5.885,818939.59,1609775999999,4740799.336527,12180,349991.082,2025569.386446,2021-01-04 12:00:00
1609776000000,5.884,5.929,5.665,5.82,467854.935,1609790399999,2690665.037043,7899,239234.656,1376140.330865,2021-01-04 16:00:00
1609790400000,5.82,6.05,5.727,6.044,381115.126,1609804799999,2236818.23659,7568,192953.158,1134358.899161,2021-01-04 20:00:00
1609804800000,6.044,6.123,5.772,5.774,974611.598,1609819199999,5813046.791427,15527,509477.148,3038430.40008,2021-01-05 00:00:00
1609819200000,5.781,5.859,5.64,5.791,595276.328,1609833599999,3428184.602455,9774,338450.16,1950223.870069,2021-01-05 04:00:00
1609833600000,5.795,6.175,5.792,6.127,647467.083,1609847999999,3907881.455312,12180,330817.898,1995479.113492,2021-01-05 08:00:00
1609848000000,6.13,6.167,5.832,6.063,979396.31,1609862399999,5894530.922044,15247,521503.095,3138488.864865,2021-01-05 12:00:00
1609862400000,6.067,6.383,6.005,6.134,1383423.849,1609876799999,8619878.532233,20089,699532.526,4365008.783125,2021-01-05 16:00:00
1609876800000,6.135,6.34,6.101,6.196,442435.816,1609891199999,2747021.771366,8413,221129.606,1373743.192394,2021-01-05 20:00:00
1609891200000,6.201,6.276,5.86,5.917,1171358.043,1609905599999,7012675.316934,13187,638395.7,3817267.110352,2021-01-06 00:00:00
1609905600000,5.919,6.231,5.907,6.098,738542.973,1609919999999,4481220.1193,11266,376789.294,2287598.202926,2021-01-06 04:00:00
1609920000000,6.099,6.37,6.014,6.338,758153.936,1609934399999,4706674.630244,12468,382268.637,2371692.502376,2021-01-06 08:00:00
1609934400000,6.335,6.81,6.219,6.532,1968692.983,1609948799999,12907998.269767,32911,1039159.266,6810088.614527,2021-01-06 12:00:00
1609948800000,6.534,6.954,6.497,6.571,1167601.998,1609963199999,7841654.169359,20219,599209.563,4021377.238745,2021-01-06 16:00:00
1609963200000,6.579,6.81,6.38,6.682,969774.398,1609977599999,6389565.771831,17731,458513.147,3029420.457077,2021-01-06 20:00:00
1609977600000,6.689,6.843,6.548,6.62,683772.295,1609991999999,4563400.391781,10611,338166.702,2255322.498951,2021-01-07 00:00:00
1609992000000,6.614,6.786,6.467,6.493,615548.981,1610006399999,4063302.563457,10633,316915.881,2094228.060073,2021-01-07 04:00:00
1610006400000,6.498,6.681,6.265,6.621,939377.798,1610020799999,6107193.842863,16021,501076.213,3259192.066535,2021-01-07 08:00:00
1610020800000,6.609,6.825,6.505,6.626,869770.149,1610035199999,5802500.993985,16158,455211.247,3040637.540488,2021-01-07 12:00:00
1610035200000,6.625,6.717,6.0,6.331,1329904.395,1610049599999,8495925.077391,27678,635705.924,4063652.784501,2021-01-07 16:00:00
1610049600000,6.337,6.384,6.142,6.264,600031.014,1610063999999,3766904.949362,16991,294776.581,1851366.558303,2021-01-07 20:00:00
1610064000000,6.266,6.343,5.802,6.007,1235881.704,1610078399999,7443790.461989,21751,506810.852,3061502.759128,2021-01-08 00:00:00
1610078400000,6.008,6.203,5.882,6.202,536792.126,1610092799999,3241093.883948,11519,291485.374,1760365.382387,2021-01-08 04:00:00
1610092800000,6.196,6.259,6.024,6.17,577488.853,1610107199999,3562311.099333,10066,289045.432,1782630.051909,2021-01-08 08:00:00
1610107200000,6.168,6.227,5.906,6.02,752842.538,1610121599999,4583315.861751,12914,374804.937,2281317.978945,2021-01-08 12:00:00
1610121600000,6.028,6.055,5.812,5.815,1081869.553,1610135999999,6401042.033965,14078,705817.855,4180138.093632,2021-01-08 16:00:00
1610136000000,5.816,5.971,5.66,5.931,935274.917,1610150399999,5390625.427087,13287,490446.276,2828511.93416,2021-01-08 20:00:00
1610150400000,5.929,6.619,5.811,6.533,1798881.532,1610164799999,11264109.679476,27708,923555.327,5793816.171329,2021-01-09 00:00:00
1610164800000,6.533,6.537,6.167,6.342,876139.91,1610179199999,5545538.911845,13993,410074.372,2590827.167799,2021-01-09 04:00:00
1610179200000,6.342,6.527,6.28,6.457,661262.499,1610193599999,4251485.660001,11528,330135.328,2121707.287422,2021-01-09 08:00:00
1610193600000,6.457,6.748,6.3,6.44,1169412.343,1610207999999,7633819.421722,18595,576702.987,3761953.911318,2021-01-09 12:00:00
1610208000000,6.44,6.54,6.306,6.532,497046.272,1610222399999,3194228.32667,7822,249620.011,1605702.536239,2021-01-09 16:00:00
1610222400000,6.54,6.7,6.466,6.54,821355.368,1610236799999,5414978.206689,12825,431236.775,2842141.70802,2021-01-09 20:00:00
1610236800000,6.544,6.739,6.511,6.583,658767.817,1610251199999,4372150.461586,11789,362950.425,2410148.854449,2021-01-10 00:00:00
1610251200000,6.571,7.142,6.571,6.88,1255463.228,1610265599999,8659600.300567,20595,696881.017,4805237.579101,2021-01-10 04:00:00
1610265600000,6.876,7.119,6.261,6.379,2013016.457,1610279999999,13521932.532139,34035,997548.731,6697590.707751,2021-01-10 08:00:00
1610280000000,6.387,6.85,6.27,6.601,1499442.028,1610294399999,9863156.187432,26657,716912.825,4714226.367798,2021-01-10 12:00:00
1610294400000,6.594,6.715,6.232,6.328,994511.548,1610308799999,6399306.262206,15528,490960.019,3159526.550509,2021-01-10 16:00:00
