timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,3.1123,3.1753,3.0592,3.1753,86785.18,1609487999999,269076.198948,2154,52068.01,161505.680896,2021-01-01 04:00:00
1609488000000,3.1753,3.5501,3.1381,3.5259,554544.91,1609502399999,1882387.319774,8585,325236.93,1103588.008921,2021-01-01 08:00:00
1609502400000,3.516,3.86,3.4515,3.6472,1467664.08,1609516799999,5354053.904954,26626,782021.83,2852065.520125,2021-01-01 12:00:00
1609516800000,3.6454,3.6666,3.4267,3.5644,452706.75,1609531199999,1607425.356204,11141,201071.18,715592.550331,2021-01-01 16:00:00
1609531200000,3.5644,3.815,3.5344,3.6497,484252.42,1609545599999,1788803.582353,11476,271594.04,1003435.192535,2021-01-01 20:00:00
1609545600000,3.6544,3.939,3.5351,3.8916,350728.33,1609559999999,1329197.88085,7034,160097.29,603102.790949,2021-01-02 00:00:00
1609560000000,3.8921,3.8922,3.6578,3.6622,194512.6,1609574399999,732108.16735,4642,84759.11,320048.872337,2021-01-02 04:00:00
1609574400000,3.6623,3.6834,3.5,3.5797,231135.91,1609588799999,824185.546683,4544,146592.28,522856.430933,2021-01-02 08:00:00
1609588800000,3.5786,3.62,3.4862,3.5472,194523.54,1609603199999,691970.009312,3931,99948.66,355713.420693,2021-01-02 12:00:00
1609603200000,3.5473,3.5518,3.32,3.3587,419434.41,1609617599999,1440702.549411,6242,201260.99,691098.911166,2021-01-02 16:00:00
1609617600000,3.3539,3.6,3.2851,3.4956,377870.36,1609631999999,1302337.489459,7490,195873.56,675841.403304,2021-01-02 20:00:00
1609632000000,3.5005,3.5413,3.3916,3.493,91211.16,1609646399999,315338.76693,2225,49688.47,171851.666196,2021-01-03 00:00:00
1609646400000,3.4967,3.5908,3.4806,3.5031,94600.52,1609660799999,333330.012273,1947,66676.11,234826.429393,2021-01-03 04:00:00
1609660800000,3.5108,3.743,3.4901,3.656,185707.77,1609675199999,678644.298115,4399,93686.05,342024.711938,2021-01-03 08:00:00
1609675200000,3.6561,3.78,3.6134,3.7369,183340.03,1609689599999,676223.15914,4237,99400.7,366794.677813,2021-01-03 12:00:00
1609689600000,3.7454,3.83,3.5,3.5558,211978.56,1609703999999,778656.399227,5520,102376.49,377274.824726,2021-01-03 16:00:00
1609704000000,3.5518,3.6389,3.4135,3.4691,222627.22,1609718399999,779651.401677,4803,88873.76,311998.774218,2021-01-03 20:00:00
1609718400000,3.477,3.7055,3.4596,3.6125,195104.28,1609732799999,698112.002568,3692,119267.04,424437.959241,2021-01-04 00:00:00
1609732800000,3.6125,3.83,3.4779,3.5642,311780.2,1609747199999,1149860.449776,7674,173424.71,642555.677612,2021-01-04 04:00:00
1609747200000,3.5705,3.6454,3.2283,3.4216,364045.46,1609761599999,1241518.307249,7175,165500.91,564773.849402,2021-01-04 08:00:00
1609761600000,3.4164,3.507,3.3426,3.448,140757.6,1609775999999,480988.085853,3489,73016.36,249679.059734,2021-01-04 12:00:00
1609776000000,3.4488,3.4956,3.33,3.4579,94552.18,1609790399999,322755.120873,2259,54955.82,187957.059945,2021-01-04 16:00:00
1609790400000,3.4655,3.6185,3.4001,3.5999,136305.55,1609804799999,482247.207667,3271,76002.83,269510.810779,2021-01-04 20:00:00
1609804800000,3.5999,3.78,3.5653,3.6189,315926.85,1609819199999,1171374.585334,6919,168530.52,624723.456214,2021-01-05 00:00:00
1609819200000,3.62,3.6595,3.4703,3.606,125841.74,1609833599999,449797.572724,2823,63188.49,226299.373262,2021-01-05 04:00:00
1609833600000,3.615,4.1781,3.6051,4.0495,712523.43,1609847999999,2814205.805812,15194,389626.78,1538686.287701,2021-01-05 08:00:00
1609848000000,4.0613,4.24,3.9121,4.1989,492964.74,1609862399999,2022656.286004,10787,255546.55,1052117.93514,2021-01-05 12:00:00
1609862400000,4.1988,4.3556,4.1004,4.1573,560254.45,1609876799999,2378428.615644,11263,245903.66,1044317.190074,2021-01-05 16:00:00
1609876800000,4.1544,4.332,4.1151,4.2501,195885.61,1609891199999,827217.038933,4840,96614.53,408139.990904,2021-01-05 20:00:00
1609891200000,4.2502,4.4,4.1361,4.303,302222.73,1609905599999,1299669.651991,5374,179581.71,774456.948033,2021-01-06 00:00:00
1609905600000,4.3148,4.6795,4.2221,4.4849,904531.83,1609919999999,4073705.19866,12573,528304.52,2385235.451369,2021-01-06 04:00:00
1609920000000,4.4849,4.9473,4.3923,4.9278,483081.84,1609934399999,2260743.625699,10774,263627.46,1235943.221715,2021-01-06 08:00:00
1609934400000,4.9278,4.9442,4.6315,4.714,327669.52,1609948799999,1558052.272291,9333,163589.83,778453.529742,2021-01-06 12:00:00
1609948800000,4.7138,4.9773,4.3684,4.3699,420548.41,1609963199999,1990674.750174,11945,171789.27,816920.132423,2021-01-06 16:00:00
1609963200000,4.3699,4.7705,4.3279,4.5788,487103.92,1609977599999,2211428.307202,9159,251922.38,1142627.874991,2021-01-06 20:00:00
1609977600000,4.5803,4.8205,4.4576,4.7301,220301.02,1609991999999,1029597.070623,6366,122588.51,574495.952317,2021-01-07 00:00:00
1609992000000,4.7306,4.7448,4.4501,4.4733,172462.74,1610006399999,794734.181573,5890,76098.97,350628.8731,2021-01-07 04:00:00
1610006400000,4.4738,4.66,4.3526,4.5719,208479.44,1610020799999,945351.111588,6034,108864.98,494011.125708,2021-01-07 08:00:00
1610020800000,4.5606,4.7999,4.5218,4.7615,242848.14,1610035199999,1126823.788136,5675,130043.8,603906.057949,2021-01-07 12:00:00
