timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,5.515,5.642,5.4871,5.5633,142307.9,1609487999999,792076.224054,3698,59433.06,330845.159563,2021-01-01 04:00:00
1609488000000,5.5715,5.7211,5.4632,5.6968,160580.47,1609502399999,897657.213545,4218,90880.36,508364.854512,2021-01-01 08:00:00
1609502400000,5.6992,5.7687,5.53,5.613,246648.46,1609516799999,1392730.350696,6195,117288.31,662609.703786,2021-01-01 12:00:00
1609516800000,5.6131,5.6461,5.325,5.4374,132359.14,1609531199999,726447.157316,4479,53660.18,294586.487009,2021-01-01 16:00:00
1609531200000,5.4316,5.5202,5.404,5.5,58595.96,1609545599999,320237.680126,1841,30202.82,165138.07948,2021-01-01 20:00:00
1609545600000,5.5031,5.5211,5.36,5.5035,88568.49,1609559999999,482004.191258,2604,42292.09,230253.717639,2021-01-02 00:00:00
1609560000000,5.5075,5.887,5.4809,5.8291,250677.98,1609574399999,1435251.960973,6704,147830.1,844350.109117,2021-01-02 04:00:00
1609574400000,5.833,5.9658,5.7025,5.9135,318725.01,1609588799999,1857916.829764,7096,168083.1,981124.807522,2021-01-02 08:00:00
1609588800000,5.9129,5.9337,5.6962,5.7406,249588.53,1609603199999,1448638.907657,5668,117756.92,683744.872801,2021-01-02 12:00:00
1609603200000,5.7463,5.7997,5.61,5.6777,263950.09,1609617599999,1501020.782036,6502,130368.36,741174.527455,2021-01-02 16:00:00
1609617600000,5.6721,6.0575,5.5205,6.0575,312764.11,1609631999999,1810145.38714,9764,162590.81,942607.08705,2021-01-02 20:00:00
1609632000000,6.0502,6.473,6.0405,6.0983,836654.96,1609646399999,5210499.614732,23106,444054.62,2767182.519585,2021-01-03 00:00:00
1609646400000,6.0985,6.2094,5.922,5.9751,263125.18,1609660799999,1588200.624649,6782,126234.86,762910.794361,2021-01-03 04:00:00
1609660800000,5.9753,6.2079,5.9013,6.1898,245990.24,1609675199999,1492028.784673,7300,128913.36,781666.400637,2021-01-03 08:00:00
1609675200000,6.1952,6.5094,6.1163,6.4391,727766.39,1609689599999,4618590.712738,15652,373304.65,2370566.085304,2021-01-03 12:00:00
1609689600000,6.4312,6.8628,6.4267,6.484,687252.4,1609703999999,4561458.864757,16578,365412.69,2429328.259227,2021-01-03 16:00:00
1609704000000,6.484,6.89,6.43,6.7703,416955.23,1609718399999,2788883.162802,11030,210375.64,1406531.804376,2021-01-03 20:00:00
1609718400000,6.7657,6.8615,6.5501,6.7648,354556.51,1609732799999,2377473.335227,10021,156791.12,1052573.115905,2021-01-04 00:00:00
1609732800000,6.7568,7.5,6.7562,6.8823,852797.77,1609747199999,6091005.464701,21494,470768.42,3362347.885024,2021-01-04 04:00:00
1609747200000,6.8823,7.0776,6.076,6.3656,840581.5,1609761599999,5400164.94397,19660,414963.16,2665865.944454,2021-01-04 08:00:00
1609761600000,6.3703,6.6986,6.3,6.63,351741.95,1609775999999,2290699.126653,10188,186193.89,1213151.970943,2021-01-04 12:00:00
1609776000000,6.6264,6.8503,6.5309,6.6811,312222.86,1609790399999,2074796.994696,8408,177888.79,1181929.514965,2021-01-04 16:00:00
1609790400000,6.6936,6.8105,6.5505,6.7446,176174.83,1609804799999,1176676.669706,6393,86868.82,580448.871347,2021-01-04 20:00:00
1609804800000,6.7455,6.9358,6.47,6.498,356438.55,1609819199999,2406536.001882,10422,170422.57,1153445.55633,2021-01-05 00:00:00
1609819200000,6.4945,6.5597,6.2406,6.383,222619.61,1609833599999,1420734.524054,7599,109669.22,700371.462312,2021-01-05 04:00:00
1609833600000,6.3877,6.8605,6.3802,6.833,269527.7,1609847999999,1784463.569485,7906,140946.98,933539.85373,2021-01-05 08:00:00
1609848000000,6.8322,7.232,6.7205,7.2269,512181.32,1609862399999,3551120.658769,13540,284028.34,1973461.34109,2021-01-05 12:00:00
1609862400000,7.2269,7.7511,7.011,7.2158,1031589.84,1609876799999,7634459.844246,26260,543070.91,4021663.452514,2021-01-05 16:00:00
1609876800000,7.2103,7.4824,7.1736,7.4267,251279.57,1609891199999,1842826.594797,9513,121838.28,893729.239698,2021-01-05 20:00:00
1609891200000,7.4272,7.532,7.0,7.209,310119.4,1609905599999,2230629.595776,9438,153455.95,1104552.29649,2021-01-06 00:00:00
