timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,350.93,352.65,344.5,345.91,20442.42038,1609487999999,7127749.5227917,12691,10199.7934,3556199.763472,2021-01-01 04:00:00
1609488000000,345.92,350.2,339.87,347.97,31490.46548,1609502399999,10870831.7084212,18350,14842.22201,5125428.5878609,2021-01-01 08:00:00
1609502400000,347.83,352.46,343.25,344.99,41703.39658,1609516799999,14526912.6025081,20083,22022.40887,7670473.3593395,2021-01-01 12:00:00
1609516800000,344.96,347.39,331.16,337.46,34954.1385,1609531199999,11864397.9142999,19207,16710.78322,5673600.526002,2021-01-01 16:00:00
1609531200000,337.46,343.54,336.35,341.83,13590.72289,1609545599999,4616779.2877574,7756,7064.94043,2400063.0039884,2021-01-01 20:00:00
1609545600000,341.74,344.96,333.05,339.38,35149.88058,1609559999999,11881160.5755184,19144,16983.83513,5743773.2978958,2021-01-02 00:00:00
1609560000000,339.34,345.21,337.47,342.68,19905.47446,1609574399999,6809883.5023206,9860,10397.86114,3556902.1630163,2021-01-02 04:00:00
1609574400000,342.68,352.64,337.56,343.14,50507.22565,1609588799999,17395210.4805999,24428,24491.92626,8438439.5346655,2021-01-02 08:00:00
1609588800000,342.94,356.59,342.37,354.13,79728.13255,1609603199999,28031149.7166314,37360,39549.36834,13905474.1891107,2021-01-02 12:00:00
1609603200000,354.01,368.0,352.47,361.65,100476.65973,1609617599999,36178244.7638223,62509,52400.903,18868687.8443558,2021-01-02 16:00:00
1609617600000,361.62,362.21,344.0,354.55,56243.35297,1609631999999,19841071.172374,37823,27250.31887,9615477.3163122,2021-01-02 20:00:00
1609632000000,354.35,368.0,354.22,355.81,49905.68883,1609646399999,18018701.6450517,44221,24961.35519,9015204.5369646,2021-01-03 00:00:00
1609646400000,355.79,369.03,354.47,363.32,69281.97678,1609660799999,25140888.1596225,38599,35903.38371,13029811.3229119,2021-01-03 04:00:00
1609660800000,363.32,396.21,359.61,389.43,181700.77432,1609675199999,69474719.6208188,98666,93686.73029,35801426.5498854,2021-01-03 08:00:00
