timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,154.78,155.0,140.0,144.48,49955.12688,1609487999999,7234458.8377549,16415,33797.71607,4892384.3582454,2021-01-01 04:00:00
1609488000000,144.46,144.96,142.0,144.43,5090.47603,1609502399999,729932.1699751,3180,2514.75532,360643.0031547,2021-01-01 08:00:00
1609502400000,144.43,147.04,142.0,143.06,7300.22694,1609516799999,1058410.9459768,4506,3778.45312,548407.4946231,2021-01-01 12:00:00
1609516800000,143.05,145.12,139.7,143.15,6262.47165,1609531199999,893216.1150892,4797,2883.97401,412158.4698498,2021-01-01 16:00:00
1609531200000,143.0,145.88,142.24,145.54,2251.6243,1609545599999,324087.4891556,2377,1316.13212,189709.9412151,2021-01-01 20:00:00
1609545600000,145.56,147.0,141.21,145.78,5090.78842,1609559999999,734633.4465703,3859,3056.93924,441510.1081994,2021-01-02 00:00:00
1609560000000,145.68,147.67,144.56,145.3,3129.75874,1609574399999,457008.0610123,2221,1529.53595,223796.1361547,2021-01-02 04:00:00
1609574400000,145.3,146.15,140.73,142.08,2735.63801,1609588799999,391541.7620822,2125,1310.51027,187777.3177752,2021-01-02 08:00:00
1609588800000,142.11,144.96,140.49,141.73,4780.24188,1609603199999,682545.2276215,3536,2474.97517,353671.5635956,2021-01-02 12:00:00
1609603200000,141.76,143.62,140.11,143.41,4657.52193,1609617599999,659426.0670884,3356,2207.21906,312537.718952,2021-01-02 16:00:00
1609617600000,143.38,143.79,134.48,136.71,10791.15803,1609631999999,1490180.8761027,6145,5290.99146,730800.2357001,2021-01-02 20:00:00
1609632000000,136.6,138.64,135.58,137.72,3779.22182,1609646399999,519200.7856128,2261,1660.065,228110.7499458,2021-01-03 00:00:00
1609646400000,137.72,138.79,136.49,137.02,3264.55413,1609660799999,449753.3159687,2289,1512.79457,208593.6252062,2021-01-03 04:00:00
