timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,0.664,0.667,0.625,0.64,3752820.818,1609487999999,2419221.553382,6113,2008401.021,1293587.079139,2021-01-01 04:00:00
1609488000000,0.641,0.649,0.612,0.638,5515831.239,1609502399999,3438859.660796,7912,2812083.282,1754707.461073,2021-01-01 08:00:00
1609502400000,0.637,0.666,0.613,0.648,5052807.521,1609516799999,3228721.981895,9319,2844212.494,1821391.703215,2021-01-01 12:00:00
1609516800000,0.649,0.674,0.605,0.624,4816176.48,1609531199999,3071807.313633,8585,2370549.692,1514624.56783,2021-01-01 16:00:00
1609531200000,0.623,0.648,0.608,0.62,4952366.393,1609545599999,3105699.719661,6319,2714252.787,1705305.662582,2021-01-01 20:00:00
1609545600000,0.621,0.621,0.564,0.59,9708717.043,1609559999999,5684947.386828,14036,5294625.507,3101171.741419,2021-01-02 00:00:00
1609560000000,0.59,0.596,0.573,0.581,2374743.988,1609574399999,1385892.010779,3716,1189420.1,694747.021799,2021-01-02 04:00:00
1609574400000,0.582,0.59,0.567,0.578,3371313.09,1609588799999,1951312.86818,4610,1621434.525,938698.785846,2021-01-02 08:00:00
1609588800000,0.578,0.61,0.566,0.594,5249051.112,1609603199999,3115597.541919,7841,2228523.412,1321567.547816,2021-01-02 12:00:00
1609603200000,0.594,0.625,0.585,0.612,5299410.963,1609617599999,3217507.334864,7911,2742652.549,1665506.195333,2021-01-02 16:00:00
1609617600000,0.612,0.621,0.585,0.613,3768828.228,1609631999999,2270621.533221,6633,1848046.169,1115863.510933,2021-01-02 20:00:00
1609632000000,0.613,0.637,0.611,0.633,2587207.724,1609646399999,1605361.324446,3582,1371565.041,852082.486649,2021-01-03 00:00:00
1609646400000,0.632,0.638,0.595,0.6,3817230.86,1609660799999,2331156.546724,6356,1891158.864,1155249.798019,2021-01-03 04:00:00
1609660800000,0.6,0.61,0.586,0.606,5382835.234,1609675199999,3223656.605294,7093,2516911.388,1508896.139895,2021-01-03 08:00:00
1609675200000,0.606,0.648,0.602,0.623,6461465.522,1609689599999,4029495.103988,9833,3438011.028,2145587.664024,2021-01-03 12:00:00
1609689600000,0.624,0.642,0.606,0.615,3673958.605,1609703999999,2285885.76094,5875,1740813.436,1085022.338808,2021-01-03 16:00:00
1609704000000,0.613,0.696,0.613,0.677,6738399.62,1609718399999,4419997.163002,11778,3781965.689,2481293.95997,2021-01-03 20:00:00
1609718400000,0.678,0.726,0.665,0.707,6585054.03,1609732799999,4643377.838724,10773,3227632.536,2275330.360885,2021-01-04 00:00:00
1609732800000,0.707,0.733,0.642,0.652,10403200.339,1609747199999,7214765.307796,17047,4507775.564,3131349.709506,2021-01-04 04:00:00
1609747200000,0.652,0.68,0.581,0.633,9612992.533,1609761599999,6040678.217659,16226,4589772.653,2886506.746192,2021-01-04 08:00:00
1609761600000,0.633,0.655,0.61,0.633,5929985.436,1609775999999,3760016.490457,7773,2898094.203,1840037.246517,2021-01-04 12:00:00
1609776000000,0.635,0.636,0.606,0.632,4303491.815,1609790399999,2672588.905702,5438,2031412.539,1261743.06556,2021-01-04 16:00:00
1609790400000,0.632,0.68,0.622,0.676,4087020.737,1609804799999,2647221.662744,5970,2040866.978,1322793.730017,2021-01-04 20:00:00
1609804800000,0.676,0.711,0.633,0.639,6102507.341,1609819199999,4124294.239015,9665,3002087.857,2032728.755175,2021-01-05 00:00:00
1609819200000,0.64,0.653,0.623,0.634,5543979.865,1609833599999,3554893.821524,8340,2747804.836,1762828.463799,2021-01-05 04:00:00
1609833600000,0.635,0.685,0.635,0.68,4494047.799,1609847999999,2988916.15483,6333,2388513.283,1587255.935687,2021-01-05 08:00:00
1609848000000,0.68,0.7,0.647,0.693,5103758.718,1609862399999,3431801.032586,7807,2617009.352,1759900.064542,2021-01-05 12:00:00
1609862400000,0.694,0.728,0.672,0.696,8756030.642,1609876799999,6149616.057679,14542,4483242.301,3150301.681708,2021-01-05 16:00:00
1609876800000,0.696,0.7,0.683,0.688,3393044.629,1609891199999,2345691.587083,6321,1767489.711,1222418.671173,2021-01-05 20:00:00
1609891200000,0.688,0.733,0.67,0.724,7350799.564,1609905599999,5164529.247405,8760,3835169.061,2701257.319399,2021-01-06 00:00:00
1609905600000,0.724,0.73,0.7,0.707,4303284.863,1609919999999,3072718.171361,6987,2023254.613,1446583.348038,2021-01-06 04:00:00
