timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,101.12,101.57,99.18,99.7,8739.58366,1609487999999,878049.5755223,2460,4622.32364,464092.4050073,2021-01-01 04:00:00
1609488000000,99.7,102.65,98.25,102.18,20946.62205,1609502399999,2110186.2960843,5151,10466.13626,1054976.4232798,2021-01-01 08:00:00
1609502400000,102.2,102.83,100.19,101.15,15937.80218,1609516799999,1621571.991997,4082,6973.96044,709736.4290315,2021-01-01 12:00:00
1609516800000,101.23,101.98,88.21,90.59,177085.31086,1609531199999,16422194.2621646,40054,78627.46475,7280146.4068902,2021-01-01 16:00:00
1609531200000,90.62,91.44,85.9,87.97,115880.80614,1609545599999,10278043.0471549,24164,58390.64378,5178183.6169377,2021-01-01 20:00:00
1609545600000,87.97,89.84,84.72,88.77,79825.26981,1609559999999,6931627.2464884,17963,38282.79254,3329074.9148124,2021-01-02 00:00:00
1609560000000,88.76,89.18,86.85,87.65,26936.75329,1609574399999,2375424.9966494,7052,12439.92484,1097164.1288276,2021-01-02 04:00:00
1609574400000,87.62,89.1,84.63,87.45,57338.4013,1609588799999,4971368.7697074,11342,23477.10513,2038522.4498195,2021-01-02 08:00:00
1609588800000,87.44,91.58,86.71,90.56,57716.33432,1609603199999,5162136.0569045,15361,28730.03487,2569406.686149,2021-01-02 12:00:00
1609603200000,90.59,94.0,89.38,90.06,61755.49294,1609617599999,5664272.4628836,16247,25608.30888,2344012.7593333,2021-01-02 16:00:00
1609617600000,90.05,90.12,85.67,87.02,50523.97231,1609631999999,4428413.5018542,11919,26351.95102,2310576.6158633,2021-01-02 20:00:00
1609632000000,86.98,87.98,86.03,86.24,21755.44988,1609646399999,1892649.2051508,5292,10697.72478,931139.3416804,2021-01-03 00:00:00
1609646400000,86.21,88.19,85.63,85.75,21041.44059,1609660799999,1826963.5590122,5537,9894.45619,859093.9252881,2021-01-03 04:00:00
1609660800000,85.74,90.8,85.19,89.25,43073.02967,1609675199999,3776967.6093228,10643,22641.6589,1986998.1812909,2021-01-03 08:00:00
1609675200000,89.32,91.45,87.24,89.54,55726.06469,1609689599999,4984271.0588953,12759,24966.69407,2233061.1760017,2021-01-03 12:00:00
1609689600000,89.49,92.11,87.0,87.67,55647.48081,1609703999999,4991025.4417053,13340,28029.1171,2516753.6726341,2021-01-03 16:00:00
1609704000000,87.67,90.64,87.63,89.65,28631.34256,1609718399999,2549735.8026415,8152,14050.01174,1251121.5376101,2021-01-03 20:00:00
1609718400000,89.68,93.81,89.63,92.91,38320.3874,1609732799999,3524802.3508445,10520,20474.0234,1883450.5844644,2021-01-04 00:00:00
1609732800000,92.84,96.89,89.21,91.57,76748.12661,1609747199999,7194363.543562,20525,38963.16498,3652708.8793094,2021-01-04 04:00:00
1609747200000,91.7,92.79,85.11,88.27,69161.31151,1609761599999,6116986.0337296,19241,34400.97824,3046003.8442601,2021-01-04 08:00:00
1609761600000,88.25,88.8,86.41,87.88,30231.3754,1609775999999,2655109.5259744,8345,15638.49979,1373622.6358968,2021-01-04 12:00:00
1609776000000,87.89,88.37,86.04,88.2,27776.23814,1609790399999,2418151.4726099,7211,13875.35729,1208673.5526049,2021-01-04 16:00:00
