timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,0.0049783,0.005,0.0048,0.00486,252542542.0,1609487999999,1236433.2121546,6026,118317163.0,578770.8361855,2021-01-01 04:00:00
1609488000000,0.00486,0.0049193,0.0047724,0.0048942,175134694.0,1609502399999,850186.2553037,3972,87536465.0,424913.0250135,2021-01-01 08:00:00
1609502400000,0.0048911,0.005,0.0048632,0.0049176,243957414.0,1609516799999,1206861.6820332,5544,136789834.0,677134.2075213,2021-01-01 12:00:00
1609516800000,0.00492,0.0052938,0.0048929,0.0052193,587791225.0,1609531199999,2969341.5838292,13138,298060132.0,1507324.627887,2021-01-01 16:00:00
1609531200000,0.0052178,0.005697,0.005128,0.00568,1504334960.0,1609545599999,8074323.8371531,28855,798962707.0,4288592.503949,2021-01-01 20:00:00
1609545600000,0.0056783,0.0067849,0.005524,0.0066338,3361540101.0,1609559999999,20825022.5913518,60565,1779289563.0,11046457.129007,2021-01-02 00:00:00
1609560000000,0.0066347,0.007977,0.0064886,0.0068931,6631274714.0,1609574399999,47372196.4136496,115041,3317119459.0,23732589.9516695,2021-01-02 04:00:00
1609574400000,0.0068932,0.0074167,0.00662,0.0072641,2301152633.0,1609588799999,16205622.6190413,51057,1104350428.0,7786299.8455896,2021-01-02 08:00:00
1609588800000,0.0072766,0.0098445,0.00672,0.0085983,6527762413.0,1609603199999,53073978.9780973,113389,3365268369.0,27308658.5718249,2021-01-02 12:00:00
1609603200000,0.0085982,0.013988,0.0081,0.01178,16180052668.0,1609617599999,175658457.3902871,302206,8078837327.0,87963891.2287306,2021-01-02 16:00:00
1609617600000,0.0117995,0.0122203,0.0084666,0.0105264,11331564726.0,1609631999999,118107551.9434637,210376,5427567439.0,56630720.8515449,2021-01-02 20:00:00
1609632000000,0.0105245,0.01142,0.0092693,0.0108323,4778186079.0,1609646399999,48690094.6658017,114563,2468926788.0,25204788.824298,2021-01-03 00:00:00
1609646400000,0.0108316,0.013,0.0103,0.0124227,5092325324.0,1609660799999,60745119.5505441,124257,2486017505.0,29639886.6333605,2021-01-03 04:00:00
1609660800000,0.0124254,0.01333,0.0110676,0.0131251,4550475650.0,1609675199999,55151776.8684783,124864,2241537556.0,27289773.9294347,2021-01-03 08:00:00
1609675200000,0.0131248,0.01405,0.0113225,0.012401,6734035507.0,1609689599999,86084224.7642744,167096,3317571638.0,42447356.6630707,2021-01-03 12:00:00
1609689600000,0.0124023,0.01264,0.0096305,0.009759,5002322993.0,1609703999999,55038610.3220381,118737,2437302303.0,26920273.4152662,2021-01-03 16:00:00
1609704000000,0.0097805,0.0109561,0.009344,0.0098209,3491463363.0,1609718399999,35731008.1957879,81588,1663449382.0,17076807.3409194,2021-01-03 20:00:00
1609718400000,0.0098188,0.0115198,0.0096472,0.011076,2617828942.0,1609732799999,27666087.7106273,72903,1416459584.0,14955123.9209569,2021-01-04 00:00:00
1609732800000,0.0110767,0.0112204,0.00935,0.0095438,1776536695.0,1609747199999,18232407.529805,52943,864222043.0,8857850.4167912,2021-01-04 04:00:00
1609747200000,0.00953,0.0099431,0.0076,0.0088666,3936631850.0,1609761599999,34059351.1006596,80806,1890444870.0,16386593.1178218,2021-01-04 08:00:00
1609761600000,0.0088666,0.0105,0.0086135,0.0102286,2892077434.0,1609775999999,26799634.686108,68678,1556060802.0,14469917.2728311,2021-01-04 12:00:00
1609776000000,0.0102329,0.0104458,0.009055,0.0097442,2141108755.0,1609790399999,20701292.58415,53320,1036649672.0,10025178.0678689,2021-01-04 16:00:00
1609790400000,0.009752,0.0098616,0.0093058,0.0097613,963845765.0,1609804799999,9274115.0221607,27860,489164335.0,4712160.0180291,2021-01-04 20:00:00
1609804800000,0.0097721,0.0102822,0.0091121,0.0091122,1104752955.0,1609819199999,10825911.5878992,32552,575587337.0,5649539.8468489,2021-01-05 00:00:00
1609819200000,0.009113,0.0094,0.0088501,0.00905,786086688.0,1609833599999,7186219.7216719,21071,370298929.0,3385459.5396264,2021-01-05 04:00:00
1609833600000,0.0090519,0.0099334,0.009047,0.0099142,1012183345.0,1609847999999,9579806.936764,23221,534262590.0,5058353.5635989,2021-01-05 08:00:00
1609848000000,0.009919,0.009985,0.00915,0.009402,790534836.0,1609862399999,7518762.5499425,22038,386741965.0,3679597.5153653,2021-01-05 12:00:00
1609862400000,0.0094021,0.0097892,0.0093005,0.0095967,743042433.0,1609876799999,7117786.8441682,21530,358097758.0,3432652.0567065,2021-01-05 16:00:00
1609876800000,0.0095998,0.0102822,0.0093638,0.00997,990535415.0,1609891199999,9666543.8387948,27474,493840387.0,4824308.3106286,2021-01-05 20:00:00
1609891200000,0.0099771,0.0102243,0.0096229,0.0100413,1010124563.0,1609905599999,9996212.1187988,26439,489473491.0,4846096.4063638,2021-01-06 00:00:00
1609905600000,0.0100301,0.011,0.009868,0.0103076,1787164042.0,1609919999999,18745126.1491079,46519,900827681.0,9457688.2814361,2021-01-06 04:00:00
1609920000000,0.0103068,0.0105,0.00997,0.010277,768939878.0,1609934399999,7864305.3748172,22184,382073374.0,3910477.1220898,2021-01-06 08:00:00
1609934400000,0.0102756,0.0103223,0.009865,0.0100276,841475430.0,1609948799999,8464581.1339973,23572,360956394.0,3634431.18939,2021-01-06 12:00:00
1609948800000,0.0100276,0.0106,0.0099469,0.0099785,969780160.0,1609963199999,9953993.3782499,25351,460563249.0,4729279.7259189,2021-01-06 16:00:00
