timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,9.1179,9.2471,8.6793,9.0064,6002973.68,1609487999999,53750728.30573,71074,2835513.17,25408638.80395,2021-01-01 04:00:00
1609488000000,9.0032,9.1058,8.7293,8.9269,5560329.56,1609502399999,49431277.491548,79594,2746963.54,24419155.857281,2021-01-01 08:00:00
1609502400000,8.9269,8.9889,8.3223,8.5065,7911947.67,1609516799999,68601848.555524,90048,3872471.57,33649708.116506,2021-01-01 12:00:00
1609516800000,8.5066,8.6721,8.0729,8.2298,9269807.26,1609531199999,77303786.128173,125533,4583358.71,38240002.595443,2021-01-01 16:00:00
1609531200000,8.2305,8.4506,8.1267,8.2776,3833202.93,1609545599999,31744431.240662,43533,2174444.49,18007367.608485,2021-01-01 20:00:00
1609545600000,8.2775,8.7344,7.89,8.6502,7845883.57,1609559999999,65099617.519209,80267,4056645.55,33753743.55381,2021-01-02 00:00:00
1609560000000,8.6435,8.7,8.2226,8.227,4411428.67,1609574399999,37269168.969766,47903,2166556.18,18318613.674687,2021-01-02 04:00:00
1609574400000,8.2323,8.6981,8.1223,8.557,4095971.2,1609588799999,34377180.599536,47594,2131696.83,17911360.704998,2021-01-02 08:00:00
1609588800000,8.5576,9.3,8.4052,9.2971,9533193.5,1609603199999,85358736.448975,99573,4648017.18,41642319.409672,2021-01-02 12:00:00
1609603200000,9.2979,9.89,9.0967,9.4343,8936480.45,1609617599999,84749014.991111,103901,4536451.26,43032865.114518,2021-01-02 16:00:00
1609617600000,9.4354,9.4444,8.41,9.2037,6719083.22,1609631999999,60702418.67039,99850,3244029.79,29300272.589949,2021-01-02 20:00:00
1609632000000,9.2056,9.3,8.8448,9.0153,3375336.39,1609646399999,30513079.159664,47533,1845679.54,16689526.808905,2021-01-03 00:00:00
1609646400000,9.0142,9.4478,8.9955,9.1235,3770769.89,1609660799999,34691364.012665,58222,2019802.21,18593132.900145,2021-01-03 04:00:00
1609660800000,9.1198,9.5241,8.8867,9.187,4952002.88,1609675199999,45380378.180576,62791,2467827.94,22624228.163388,2021-01-03 08:00:00
1609675200000,9.186,9.7508,9.0,9.1765,8360277.4,1609689599999,78223925.178121,118259,4219262.81,39508827.2096,2021-01-03 12:00:00
1609689600000,9.1749,9.8,9.1699,9.68,8190823.08,1609703999999,78182879.01607,92866,3758220.68,35879223.310833,2021-01-03 16:00:00
1609704000000,9.6888,10.5,9.6058,10.1307,8575513.8,1609718399999,86170368.74507,92810,4858709.61,48837361.361355,2021-01-03 20:00:00
1609718400000,10.1453,10.5169,9.9295,10.4738,4865023.47,1609732799999,49830357.138343,61266,2489405.54,25522655.263364,2021-01-04 00:00:00
1609732800000,10.4738,10.4836,9.269,9.7162,8565002.43,1609747199999,85912405.425188,91275,4349398.53,43761108.227728,2021-01-04 04:00:00
1609747200000,9.7158,9.9745,8.7,9.3804,9963081.69,1609761599999,93120252.699303,114906,4840176.18,45269183.390929,2021-01-04 08:00:00
1609761600000,9.3854,9.7299,8.9,9.5189,6096467.48,1609775999999,57054212.933649,71706,3285523.36,30794452.833206,2021-01-04 12:00:00
1609776000000,9.5244,9.5601,9.0817,9.5078,3942117.8,1609790399999,36588373.458482,52708,1991854.06,18491456.976456,2021-01-04 16:00:00
1609790400000,9.5091,9.5413,9.2,9.5126,1802304.24,1609804799999,16893113.304497,28584,852809.14,7993096.184654,2021-01-04 20:00:00
1609804800000,9.5147,9.9498,9.2755,9.2845,4917543.38,1609819199999,47383152.909876,62649,2512455.18,24232473.761285,2021-01-05 00:00:00
