timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,11.5021,11.5498,11.3214,11.3784,646949.46,1609487999999,7396563.421883,18266,279344.61,3195045.984043,2021-01-01 04:00:00
1609488000000,11.3779,11.7528,11.2282,11.7134,886681.77,1609502399999,10186669.591432,30895,483241.94,5552839.568906,2021-01-01 08:00:00
1609502400000,11.7142,12.46,11.703,12.1183,3046980.26,1609516799999,37094104.383787,71545,1576772.47,19192181.454421,2021-01-01 12:00:00
1609516800000,12.1212,12.35,11.534,11.8018,1786481.53,1609531199999,21441567.897424,43734,827997.58,9946517.941437,2021-01-01 16:00:00
1609531200000,11.8062,12.0941,11.7508,11.8477,890036.98,1609545599999,10595487.057001,22564,463885.56,5522195.239215,2021-01-01 20:00:00
1609545600000,11.8453,11.8973,11.4303,11.7315,929545.79,1609559999999,10819988.296991,21072,450142.15,5237744.769956,2021-01-02 00:00:00
1609560000000,11.7314,11.942,11.6167,11.6199,659588.38,1609574399999,7745448.847574,14548,295678.26,3471457.474678,2021-01-02 04:00:00
1609574400000,11.6199,11.6851,11.4864,11.6512,794936.35,1609588799999,9208348.234341,17080,434665.21,5033360.368594,2021-01-02 08:00:00
1609588800000,11.6458,12.12,11.5408,11.9419,2072489.13,1609603199999,24522811.36794,51598,1026335.41,12142213.776843,2021-01-02 12:00:00
1609603200000,11.9419,12.4188,11.7049,12.3241,2633096.35,1609617599999,31842638.449093,60438,1344776.23,16279060.164099,2021-01-02 16:00:00
1609617600000,12.3286,12.35,11.6661,12.2215,2528565.31,1609631999999,30352702.752936,52281,1250654.44,15005567.719914,2021-01-02 20:00:00
1609632000000,12.2206,12.4601,11.9351,11.9363,1078455.41,1609646399999,13120955.239286,25282,510583.97,6211355.826412,2021-01-03 00:00:00
1609646400000,11.9368,12.2343,11.8912,11.999,1189565.0,1609660799999,14337721.369739,24786,549660.41,6625357.331255,2021-01-03 04:00:00
1609660800000,12.0057,12.78,11.8355,12.5875,2732266.56,1609675199999,33832352.548111,58169,1364003.98,16895429.526168,2021-01-03 08:00:00
1609675200000,12.5825,13.45,12.4335,13.221,4326208.91,1609689599999,56037075.517251,92165,2235032.33,28975972.074624,2021-01-03 12:00:00
1609689600000,13.2107,13.5,12.6632,13.0215,3605616.51,1609703999999,47212090.577856,86279,1715255.65,22479939.22032,2021-01-03 16:00:00
1609704000000,13.0138,13.9999,13.0021,13.6814,3005968.03,1609718399999,40677670.34059,70036,1608630.77,21787076.05561,2021-01-03 20:00:00
1609718400000,13.6815,14.6705,13.6311,14.5327,3279676.69,1609732799999,46281649.50283,78220,1640711.45,23160141.116483,2021-01-04 00:00:00
