timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1609473600000,1.6029,1.641,1.5824,1.6196,474938.39,1609487999999,766912.210215,7105,165251.88,266357.484624,2021-01-01 04:00:00
1609488000000,1.6183,1.649,1.5701,1.6272,458724.27,1609502399999,738824.782003,6838,251165.29,404688.794568,2021-01-01 08:00:00
1609502400000,1.6275,1.6579,1.5808,1.6463,651745.93,1609516799999,1055555.154573,7268,355052.79,574415.590967,2021-01-01 12:00:00
1609516800000,1.6478,1.8327,1.6155,1.7256,1558078.2,1609531199999,2692927.892127,17774,830583.53,1436143.024729,2021-01-01 16:00:00
1609531200000,1.726,1.86,1.7142,1.8421,874619.16,1609545599999,1564123.800724,10205,421989.07,755232.776971,2021-01-01 20:00:00
1609545600000,1.8421,1.9071,1.7244,1.8614,1310461.36,1609559999999,2382620.10729,14752,740012.08,1348526.107943,2021-01-02 00:00:00
1609560000000,1.8632,1.8633,1.7453,1.7523,618781.97,1609574399999,1112078.459924,8734,322563.48,580174.902968,2021-01-02 04:00:00
1609574400000,1.7526,1.7954,1.7158,1.7655,603978.54,1609588799999,1060865.504495,8139,361873.71,635630.944705,2021-01-02 08:00:00
1609588800000,1.7638,1.8553,1.7116,1.7793,845519.06,1609603199999,1508208.898283,11421,426713.05,759382.98361,2021-01-02 12:00:00
1609603200000,1.7799,2.0,1.75,1.9176,1152091.72,1609617599999,2184697.580715,15497,615087.35,1167010.964647,2021-01-02 16:00:00
1609617600000,1.9188,1.9205,1.7508,1.7999,722986.97,1609631999999,1309510.136869,7887,357187.12,647783.212269,2021-01-02 20:00:00
1609632000000,1.7998,1.95,1.7973,1.9462,532881.9,1609646399999,1000749.239938,8686,292572.9,551454.242816,2021-01-03 00:00:00
1609646400000,1.9467,2.1,1.9143,2.0709,1041262.8,1609660799999,2091376.28199,15280,572854.65,1153313.769741,2021-01-03 04:00:00
1609660800000,2.0662,2.38,2.0642,2.2657,2471257.28,1609675199999,5529797.258976,29568,1304935.57,2919805.520069,2021-01-03 08:00:00
